OperatingSystemCharacteristics,SQLITE_SECURE_DELETE,ChooseSQLITE_TEMP_STORE,SQLITE_TEMP_STOREzero,SQLITE_TEMP_STOREone,SQLITE_TEMP_STOREtwo,SQLITE_TEMP_STOREthree,EnableFeatures,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,DisableFeatures,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,OmitFeatures,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,Options,SetAutoVacuum,AutoVacuumOff,AutoVacuumOn,SetCacheSize,StandardCacheSize,LowerCacheSize,HigherCacheSize,LockingMode,ExclusiveLock,NormalLockingMode,PageSize,StandardPageSize,LowerPageSize,HigherPageSize,HighestPageSize,Performance,[DomFlist],DomEst,RelErr
Y,N,Y,N,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,N,14.70161651,[4N 3Y 26N 5Y ],14.3680,0.0227
Y,N,Y,Y,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,14.33496914,[4Y 26N ],13.5797,0.0527
Y,N,Y,N,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,14.69222956,[4N 3Y 26N 5Y ],14.3680,0.0221
Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,N,N,N,14.21978651,[4N 3Y 26Y 5N ],15.8299,0.1132
Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,N,14.16729072,[4Y 26N ],13.5797,0.0415
Y,Y,Y,N,N,N,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,N,14.15038639,[4N 3Y 26Y 5N ],15.8299,0.1187
Y,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,14.03464473,[4N 3Y 26Y 5N ],15.8299,0.1279
Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,N,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,N,Y,N,N,14.46407844,[4N 3Y 26Y 5N ],15.8299,0.0944
Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,14.49154659,[4N 3Y 26Y 5Y ],15.1147,0.0430
Y,N,Y,Y,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,14.4725533,[4Y 26Y ],13.9659,0.0350
