time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance
Y,N,Y,N,Y,N,Y,N,Y,N,N,221.62
Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,251.25
Y,N,Y,Y,N,N,Y,Y,Y,N,Y,245.50
Y,Y,Y,Y,Y,N,N,N,N,N,Y,252.50
Y,Y,N,Y,Y,N,Y,Y,Y,N,N,231.91
Y,N,N,Y,Y,N,N,N,N,N,Y,266.32
Y,Y,N,N,N,N,Y,N,N,N,N,229.17
Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,260.41
Y,Y,Y,Y,N,Y,N,N,N,N,N,253.96
Y,Y,N,Y,N,Y,N,N,N,Y,Y,245.79
Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,251.36
Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,262.67
Y,Y,N,Y,Y,N,Y,Y,N,Y,N,235.30
Y,Y,Y,N,Y,N,Y,Y,Y,N,N,241.33
Y,Y,Y,N,N,Y,Y,N,N,Y,Y,250.67
Y,Y,Y,N,N,Y,Y,N,Y,N,N,245.20
Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,265.65
Y,Y,N,Y,N,Y,Y,N,Y,Y,N,235.35
Y,Y,N,N,Y,Y,Y,N,Y,N,N,224.88
Y,Y,Y,Y,N,N,N,N,N,Y,N,244.91
Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,253.57
Y,Y,N,Y,N,Y,N,Y,N,Y,Y,245.56
Y,Y,Y,N,N,N,N,N,N,Y,N,234.87
Y,N,N,N,N,Y,Y,N,N,N,N,205.21
Y,N,Y,N,Y,N,N,Y,N,N,N,221.78
Y,Y,N,N,Y,N,Y,Y,Y,N,Y,231.44
Y,N,N,N,Y,Y,N,N,N,Y,N,200.92
Y,Y,Y,N,Y,Y,N,N,N,Y,Y,249.37
Y,N,N,N,N,N,Y,N,Y,N,Y,216.22
Y,N,N,N,Y,N,Y,Y,Y,N,N,200.82
Y,Y,N,N,N,N,N,Y,N,Y,N,224.73
Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,252.62
Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,249.39
