check,preset,extreme,sparse,PERF
none,PRESET0,1,1,132.672
none,PRESET0,1,0,132.242
none,PRESET2,0,1,34.33
crc64,PRESET5,1,1,167.91
crc64,PRESET5,1,0,169.40
crc64,PRESET5,0,1,72.008
crc64,PRESET5,0,0,71.824
crc64,PRESET6,1,1,186.106
crc64,PRESET6,1,0,185.826
crc64,PRESET6,0,1,90.722
crc64,PRESET6,0,0,90.248
crc64,PRESET7,1,1,193.356
crc64,PRESET7,1,0,193.678
none,PRESET2,0,0,34.472
crc64,PRESET7,0,1,92.81
crc64,PRESET7,0,0,93.564
crc64,PRESET8,1,1,195.126
crc64,PRESET8,1,0,196.172
crc64,PRESET8,0,1,94.87
crc64,PRESET8,0,0,94.768
crc64,PRESET9,1,1,198.328
crc64,PRESET9,1,0,197.562
crc64,PRESET9,0,1,96.684
crc64,PRESET9,0,0,98.624
none,PRESET3,1,1,160.188
sha256,PRESET0,1,1,134.414
sha256,PRESET0,1,0,134.716
sha256,PRESET0,0,1,22.298
sha256,PRESET0,0,0,23.032
sha256,PRESET1,1,1,154.442
sha256,PRESET1,1,0,154.368
sha256,PRESET1,0,1,28.18
sha256,PRESET1,0,0,28.344
sha256,PRESET2,1,1,164.288
sha256,PRESET2,1,0,164.136
none,PRESET3,1,0,160.168
sha256,PRESET2,0,1,36.314
sha256,PRESET2,0,0,36.318
sha256,PRESET3,1,1,161.786
sha256,PRESET3,1,0,161.778
sha256,PRESET3,0,1,47.596
sha256,PRESET3,0,0,47.446
sha256,PRESET4,1,1,174.798
sha256,PRESET4,1,0,174.274
sha256,PRESET4,0,1,59.674
sha256,PRESET4,0,0,59.924
none,PRESET3,0,1,45.764
sha256,PRESET5,1,1,169.756
sha256,PRESET5,1,0,169.356
sha256,PRESET5,0,1,73.602
sha256,PRESET5,0,0,73.942
sha256,PRESET6,1,1,187.596
sha256,PRESET6,1,0,187.702
sha256,PRESET6,0,1,93.452
sha256,PRESET6,0,0,93.456
sha256,PRESET7,1,1,196.05
sha256,PRESET7,1,0,195.62
none,PRESET3,0,0,45.816
sha256,PRESET7,0,1,94.492
sha256,PRESET7,0,0,95.348
sha256,PRESET8,1,1,199.606
sha256,PRESET8,1,0,198.808
sha256,PRESET8,0,1,96.444
sha256,PRESET8,0,0,96.488
sha256,PRESET9,1,1,198.666
sha256,PRESET9,1,0,199.29
sha256,PRESET9,0,1,97.986
sha256,PRESET9,0,0,97.984
none,PRESET4,1,1,173.994
none,PRESET4,1,0,172.83
none,PRESET4,0,1,58.25
none,PRESET4,0,0,59.724
none,PRESET0,0,1,22.796
none,PRESET5,1,1,168.25
none,PRESET5,1,0,168.884
none,PRESET5,0,1,72.156
none,PRESET5,0,0,72.17
none,PRESET6,1,1,186.518
none,PRESET6,1,0,186.55
none,PRESET6,0,1,90.474
none,PRESET6,0,0,91.196
none,PRESET7,1,1,194.212
none,PRESET7,1,0,194.248
none,PRESET0,0,0,20.47
none,PRESET7,0,1,92.932
none,PRESET7,0,0,93.062
none,PRESET8,1,1,195.52
none,PRESET8,1,0,195.62
none,PRESET8,0,1,94.858
none,PRESET8,0,0,94.606
none,PRESET9,1,1,197.206
none,PRESET9,1,0,197.52
none,PRESET9,0,1,96.586
none,PRESET9,0,0,97.476
none,PRESET1,1,1,156.612
crc32,PRESET0,1,1,133.096
crc32,PRESET0,1,0,134.086
crc32,PRESET0,0,1,20.95
crc32,PRESET0,0,0,21.832
crc32,PRESET1,1,1,153.032
crc32,PRESET1,1,0,153.522
crc32,PRESET1,0,1,26.48
crc32,PRESET1,0,0,26.614
crc32,PRESET2,1,1,172.272
crc32,PRESET2,1,0,162.438
none,PRESET1,1,0,152.502
crc32,PRESET2,0,1,34.834
crc32,PRESET2,0,0,34.89
crc32,PRESET3,1,1,160.758
crc32,PRESET3,1,0,165.26
crc32,PRESET3,0,1,46.366
crc32,PRESET3,0,0,46.084
crc32,PRESET4,1,1,173.994
crc32,PRESET4,1,0,173.20
crc32,PRESET4,0,1,58.558
crc32,PRESET4,0,0,59.692
none,PRESET1,0,1,26.384
crc32,PRESET5,1,1,169.71
crc32,PRESET5,1,0,168.178
crc32,PRESET5,0,1,72.126
crc32,PRESET5,0,0,72.052
crc32,PRESET6,1,1,186.498
crc32,PRESET6,1,0,186.378
crc32,PRESET6,0,1,90.60
crc32,PRESET6,0,0,90.796
crc32,PRESET7,1,1,198.076
crc32,PRESET7,1,0,194.038
none,PRESET1,0,0,26.338
crc32,PRESET7,0,1,93.668
crc32,PRESET7,0,0,94.30
crc32,PRESET8,1,1,196.228
crc32,PRESET8,1,0,196.388
crc32,PRESET8,0,1,95.32
crc32,PRESET8,0,0,95.918
crc32,PRESET9,1,1,198.36
crc32,PRESET9,1,0,197.662
crc32,PRESET9,0,1,96.27
crc32,PRESET9,0,0,95.986
none,PRESET2,1,1,162.986
crc64,PRESET0,1,1,133.834
crc64,PRESET0,1,0,132.82
crc64,PRESET0,0,1,20.688
crc64,PRESET0,0,0,20.756
crc64,PRESET1,1,1,153.17
crc64,PRESET1,1,0,153.452
crc64,PRESET1,0,1,26.952
crc64,PRESET1,0,0,26.72
crc64,PRESET2,1,1,162.904
crc64,PRESET2,1,0,163.38
none,PRESET2,1,0,162.676
crc64,PRESET2,0,1,35.018
crc64,PRESET2,0,0,35.124
crc64,PRESET3,1,1,160.90
crc64,PRESET3,1,0,160.688
crc64,PRESET3,0,1,48.054
crc64,PRESET3,0,0,46.402
crc64,PRESET4,1,1,174.438
crc64,PRESET4,1,0,173.708
crc64,PRESET4,0,1,58.774
crc64,PRESET4,0,0,58.88
