no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,703.5
Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,291.643
Y,N,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,427.66
Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,476.9
Y,Y,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,N,Y,680.557
Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,429.643
Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,713.39
Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,251.573
Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,N,Y,N,564.093
Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,279.247
Y,Y,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,N,N,256.667
Y,Y,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,587.24
Y,N,N,Y,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,305.173
Y,Y,N,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,617.207
Y,Y,N,N,N,Y,N,N,Y,N,Y,N,Y,N,N,Y,687.6
Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,299.707
Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,263.373
Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,291.173
Y,Y,N,N,N,N,Y,N,Y,N,N,Y,Y,N,N,Y,499.27
Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,304.997
Y,N,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,N,N,295.503
Y,N,Y,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,262.563
Y,Y,Y,N,N,Y,Y,N,Y,N,N,Y,Y,N,Y,N,408.683
Y,Y,N,Y,Y,N,N,N,Y,Y,N,N,Y,N,N,Y,713.673
Y,N,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,Y,N,509.273
Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,246.273
Y,N,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,N,Y,508.423
Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,631.283
