"","Performance","freqAll","freqN1","freqN2","freqN3","freqPW"
"1",1200,0.0625,0.0888888888888889,0.0333333333333333,0.0592592592592593,0.0413793103448276
"2",2100,0.0208333333333333,0.0222222222222222,0.0333333333333333,0.00740740740740741,0.0137931034482759
"3",2310,0.00520833333333333,0,0.0111111111111111,0,0
"4",1260,0.0260416666666667,0.0222222222222222,0.0444444444444444,0.0296296296296296,0.0344827586206897
"5",1140,0.046875,0.0666666666666667,0.0555555555555556,0.0666666666666667,0.0413793103448276
"7",1980,0.0208333333333333,0,0.0222222222222222,0.0222222222222222,0.0137931034482759
"8",1110,0.0416666666666667,0.0444444444444444,0.0222222222222222,0.0222222222222222,0.0482758620689655
"9",2160,0.015625,0,0.0111111111111111,0.00740740740740741,0.00689655172413793
"10",990,0.0416666666666667,0.0444444444444444,0.1,0.0296296296296296,0.0413793103448276
"11",1890,0.0208333333333333,0.0666666666666667,0.0111111111111111,0.0148148148148148,0.0551724137931034
"12",1020,0.0520833333333333,0.0222222222222222,0.0333333333333333,0.0666666666666667,0.0413793103448276
"14",960,0.0416666666666667,0.0222222222222222,0.0222222222222222,0.0592592592592593,0.0413793103448276
"16",1860,0.015625,0.0444444444444444,0,0.00740740740740741,0.0344827586206897
"17",1470,0.0104166666666667,0,0,0.0148148148148148,0
"18",2640,0.00520833333333333,0,0,0,0.00689655172413793
"19",1380,0.015625,0.0444444444444444,0.0333333333333333,0.0148148148148148,0.0206896551724138
"20",2430,0.0104166666666667,0.0444444444444444,0.0111111111111111,0.0148148148148148,0.0275862068965517
"22",1080,0.0416666666666667,0.0222222222222222,0.0555555555555556,0.0444444444444444,0.0620689655172414
"23",2340,0.00520833333333333,0,0.0111111111111111,0,0
"24",1830,0.015625,0.0444444444444444,0,0,0.00689655172413793
"25",2190,0.0260416666666667,0.0666666666666667,0.0222222222222222,0.0518518518518519,0.0137931034482759
"30",1230,0.0416666666666667,0,0,0.0592592592592593,0.0344827586206897
"32",2070,0.015625,0.0222222222222222,0.0111111111111111,0.0296296296296296,0.0206896551724138
"37",1050,0.0364583333333333,0,0.0555555555555556,0.037037037037037,0.0275862068965517
"53",1350,0.015625,0,0.0222222222222222,0,0.00689655172413793
"56",1290,0.0104166666666667,0,0.0111111111111111,0.0148148148148148,0.0137931034482759
"57",1950,0.015625,0.0222222222222222,0.0333333333333333,0.00740740740740741,0.00689655172413793
"59",1320,0.0260416666666667,0,0.0111111111111111,0.037037037037037,0.0344827586206897
"68",1740,0.00520833333333333,0,0.0111111111111111,0,0.0137931034482759
"69",1170,0.0364583333333333,0.0222222222222222,0.0222222222222222,0.0740740740740741,0.0206896551724138
"72",930,0.0364583333333333,0.0222222222222222,0.0555555555555556,0.0148148148148148,0.0344827586206897
"73",870,0.0208333333333333,0,0.0222222222222222,0.00740740740740741,0.00689655172413793
"77",900,0.03125,0.0666666666666667,0.0666666666666667,0.0222222222222222,0.0206896551724138
"86",1500,0.00520833333333333,0,0,0,0
"90",2220,0.0104166666666667,0,0.0111111111111111,0.00740740740740741,0.0137931034482759
"105",2040,0.0104166666666667,0,0.0111111111111111,0.0148148148148148,0.0137931034482759
"106",2130,0.015625,0.0222222222222222,0,0.0296296296296296,0.0275862068965517
"109",2370,0.00520833333333333,0,0.0111111111111111,0.00740740740740741,0.00689655172413793
"125",840,0.0104166666666667,0,0.0222222222222222,0.00740740740740741,0.0137931034482759
"126",1710,0.00520833333333333,0,0,0,0
"127",1920,0.015625,0.0222222222222222,0.0111111111111111,0.0148148148148148,0.0413793103448276
"128",1620,0.00520833333333333,0,0.0111111111111111,0,0.00689655172413793
"135",2010,0.00520833333333333,0.0222222222222222,0.0111111111111111,0.0148148148148148,0
"136",1770,0.015625,0.0222222222222222,0.0222222222222222,0.0148148148148148,0.0137931034482759
"153",1680,0.0104166666666667,0,0.0111111111111111,0,0.0137931034482759
"154",1800,0.00520833333333333,0.0222222222222222,0,0.00740740740740741,0.00689655172413793
"155",1410,0.015625,0.0444444444444444,0,0.0222222222222222,0.0206896551724138
"156",2490,0.00520833333333333,0,0,0.00740740740740741,0.00689655172413793
"158",2250,0.00520833333333333,0.0222222222222222,0.0111111111111111,0,0.0137931034482759
"165",2400,0.00520833333333333,0,0,0,0
"174",2280,0.0104166666666667,0,0.0111111111111111,0.00740740740740741,0.00689655172413793
"191",2460,0.00520833333333333,0,0,0.00740740740740741,0
