HAVE_CRYPTO,HAVE_HASH,HAVE_REPLICATION,HAVE_VERIFY,HAVE_SEQUENCE,HAVE_STATISTICS,DIAGNOSTIC,PAGESIZE,PS1K,PS4K,PS8K,PS16K,PS32K,CACHESIZE,CS32MB,CS16MB,CS64MB,CS512MB,Performance,[DomFlist],DomEst,RelErr
N,Y,N,Y,N,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,1.2756,[1N 3N ],1.3419,0.0520
Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,N,5.8453,[1Y 9N 10Y ],6.2435,0.0681
Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,Y,2.0332,[1Y 9Y ],2.6668,0.3116
N,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,N,1.2713,[1N 3Y 10N ],0.6391,0.4973
Y,Y,N,Y,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,2.0236,[1Y 9Y ],2.6668,0.3179
Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,37.6677,[1Y 9N 10N 11N ],25.5904,0.3206
N,N,Y,Y,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,0.4732,[1N 3Y 10Y ],0.5106,0.0789
N,Y,Y,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,0.7435,[1N 3Y 10N ],0.6391,0.1405
Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,19.9631,[1Y 9N 10N 11N ],25.5904,0.2819
N,N,N,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,Y,0.6379,[1N 3N ],1.3419,1.1036
N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,N,1.2580,[1N 3N ],1.3419,0.0667
Y,Y,N,Y,Y,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,38.9268,[1Y 9N 10N 11N ],25.5904,0.3426
N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,0.6515,[1N 3N ],1.3419,1.0597
N,Y,N,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,Y,N,0.5163,[1N 3N ],1.3419,1.5991
N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,0.3892,[1N 3N ],1.3419,2.4478
N,N,Y,Y,N,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,N,0.4969,[1N 3Y 10N ],0.6391,0.2861
N,N,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,N,0.4481,[1N 3N ],1.3419,1.9946
N,Y,N,N,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,Y,0.7347,[1N 3N ],1.3419,0.8265
Y,Y,N,N,N,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,21.1878,[1Y 9N 10N 11N ],25.5904,0.2078
Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,2.0634,[1Y 9Y ],2.6668,0.2924
Y,N,N,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,37.5939,[1Y 9N 10N 11N ],25.5904,0.3193
Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,Y,N,N,2.0403,[1Y 9Y ],2.6668,0.3071
Y,Y,N,N,N,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,N,21.2486,[1Y 9N 10N 11N ],25.5904,0.2043
N,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,0.5283,[1N 3N ],1.3419,1.5400
N,N,N,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N,Y,N,0.4544,[1N 3N ],1.3419,1.9531
N,N,Y,N,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,0.9326,[1N 3Y 10N ],0.6391,0.3148
N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,N,0.5198,[1N 3Y 10Y ],0.5106,0.0178
Y,Y,N,Y,N,N,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,21.2842,[1Y 9N 10N 11N ],25.5904,0.2023
Y,N,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,N,20.0204,[1Y 9N 10N 11N ],25.5904,0.2782
N,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,N,1.2515,[1N 3Y 10N ],0.6391,0.4894
