check,preset,extreme,sparse,PERF
none,PRESET0,1,1,91.09
none,PRESET0,1,0,91.01
none,PRESET2,0,1,18.254
crc64,PRESET5,1,1,108.418
crc64,PRESET5,1,0,108.608
crc64,PRESET5,0,1,43.13
crc64,PRESET5,0,0,43.076
crc64,PRESET6,1,1,118.006
crc64,PRESET6,1,0,117.946
crc64,PRESET6,0,1,54.36
crc64,PRESET6,0,0,54.366
crc64,PRESET7,1,1,120.422
crc64,PRESET7,1,0,120.492
none,PRESET2,0,0,18.378
crc64,PRESET7,0,1,54.97
crc64,PRESET7,0,0,54.898
crc64,PRESET8,1,1,121.008
crc64,PRESET8,1,0,120.972
crc64,PRESET8,0,1,55.454
crc64,PRESET8,0,0,55.562
crc64,PRESET9,1,1,121.76
crc64,PRESET9,1,0,121.718
crc64,PRESET9,0,1,56.158
crc64,PRESET9,0,0,56.16
none,PRESET3,1,1,105.482
sha256,PRESET0,1,1,92.234
sha256,PRESET0,1,0,92.27
sha256,PRESET0,0,1,11.76
sha256,PRESET0,0,0,11.746
sha256,PRESET1,1,1,104.606
sha256,PRESET1,1,0,104.614
sha256,PRESET1,0,1,15.386
sha256,PRESET1,0,0,15.378
sha256,PRESET2,1,1,109.832
sha256,PRESET2,1,0,109.802
none,PRESET3,1,0,105.494
sha256,PRESET2,0,1,19.492
sha256,PRESET2,0,0,19.504
sha256,PRESET3,1,1,106.818
sha256,PRESET3,1,0,106.738
sha256,PRESET3,0,1,24.696
sha256,PRESET3,0,0,24.762
sha256,PRESET4,1,1,114.068
sha256,PRESET4,1,0,114.076
sha256,PRESET4,0,1,35.294
sha256,PRESET4,0,0,35.304
none,PRESET3,0,1,23.444
sha256,PRESET5,1,1,109.402
sha256,PRESET5,1,0,109.482
sha256,PRESET5,0,1,44.166
sha256,PRESET5,0,0,44.146
sha256,PRESET6,1,1,118.97
sha256,PRESET6,1,0,118.974
sha256,PRESET6,0,1,55.44
sha256,PRESET6,0,0,55.43
sha256,PRESET7,1,1,121.492
sha256,PRESET7,1,0,121.456
none,PRESET3,0,0,23.436
sha256,PRESET7,0,1,55.944
sha256,PRESET7,0,0,55.952
sha256,PRESET8,1,1,122.004
sha256,PRESET8,1,0,122.076
sha256,PRESET8,0,1,56.472
sha256,PRESET8,0,0,56.414
sha256,PRESET9,1,1,122.78
sha256,PRESET9,1,0,122.768
sha256,PRESET9,0,1,57.17
sha256,PRESET9,0,0,57.204
none,PRESET4,1,1,112.816
none,PRESET4,1,0,112.866
none,PRESET4,0,1,34.308
none,PRESET4,0,0,34.02
none,PRESET0,0,1,10.39
none,PRESET5,1,1,108.174
none,PRESET5,1,0,108.196
none,PRESET5,0,1,42.90
none,PRESET5,0,0,42.918
none,PRESET6,1,1,117.706
none,PRESET6,1,0,117.69
none,PRESET6,0,1,54.148
none,PRESET6,0,0,54.132
none,PRESET7,1,1,120.35
none,PRESET7,1,0,120.22
none,PRESET0,0,0,10.402
none,PRESET7,0,1,54.722
none,PRESET7,0,0,54.684
none,PRESET8,1,1,120.972
none,PRESET8,1,0,120.79
none,PRESET8,0,1,55.198
none,PRESET8,0,0,55.202
none,PRESET9,1,1,121.574
none,PRESET9,1,0,121.504
none,PRESET9,0,1,55.898
none,PRESET9,0,0,55.944
none,PRESET1,1,1,103.384
crc32,PRESET0,1,1,91.114
crc32,PRESET0,1,0,91.144
crc32,PRESET0,0,1,10.452
crc32,PRESET0,0,0,10.46
crc32,PRESET1,1,1,103.554
crc32,PRESET1,1,0,103.512
crc32,PRESET1,0,1,14.226
crc32,PRESET1,0,0,14.224
crc32,PRESET2,1,1,108.824
crc32,PRESET2,1,0,108.706
none,PRESET1,1,0,103.344
crc32,PRESET2,0,1,18.348
crc32,PRESET2,0,0,18.364
crc32,PRESET3,1,1,105.634
crc32,PRESET3,1,0,105.69
crc32,PRESET3,0,1,23.54
crc32,PRESET3,0,0,23.534
crc32,PRESET4,1,1,112.99
crc32,PRESET4,1,0,112.892
crc32,PRESET4,0,1,34.134
crc32,PRESET4,0,0,34.098
none,PRESET1,0,1,14.138
crc32,PRESET5,1,1,108.326
crc32,PRESET5,1,0,108.344
crc32,PRESET5,0,1,42.988
crc32,PRESET5,0,0,43.012
crc32,PRESET6,1,1,117.852
crc32,PRESET6,1,0,117.804
crc32,PRESET6,0,1,54.282
crc32,PRESET6,0,0,54.296
crc32,PRESET7,1,1,120.396
crc32,PRESET7,1,0,120.388
none,PRESET1,0,0,14.136
crc32,PRESET7,0,1,54.828
crc32,PRESET7,0,0,54.79
crc32,PRESET8,1,1,120.86
crc32,PRESET8,1,0,120.866
crc32,PRESET8,0,1,55.348
crc32,PRESET8,0,0,55.33
crc32,PRESET9,1,1,121.592
crc32,PRESET9,1,0,121.644
crc32,PRESET9,0,1,56.018
crc32,PRESET9,0,0,56.014
none,PRESET2,1,1,108.548
crc64,PRESET0,1,1,91.202
crc64,PRESET0,1,0,91.188
crc64,PRESET0,0,1,10.542
crc64,PRESET0,0,0,10.526
crc64,PRESET1,1,1,103.646
crc64,PRESET1,1,0,103.588
crc64,PRESET1,0,1,14.294
crc64,PRESET1,0,0,14.284
crc64,PRESET2,1,1,108.762
crc64,PRESET2,1,0,108.746
none,PRESET2,1,0,108.606
crc64,PRESET2,0,1,18.424
crc64,PRESET2,0,0,18.428
crc64,PRESET3,1,1,105.684
crc64,PRESET3,1,0,105.686
crc64,PRESET3,0,1,23.60
crc64,PRESET3,0,0,23.606
crc64,PRESET4,1,1,113.17
crc64,PRESET4,1,0,113.036
crc64,PRESET4,0,1,34.20
crc64,PRESET4,0,0,34.214
