check,preset,extreme,sparse,PERF
none,PRESET0,1,1,42.222
none,PRESET0,1,0,42.12
none,PRESET2,0,1,8.65
crc64,PRESET5,1,1,53.64
crc64,PRESET5,1,0,53.736
crc64,PRESET5,0,1,22.388
crc64,PRESET5,0,0,22.472
crc64,PRESET6,1,1,57.546
crc64,PRESET6,1,0,57.616
crc64,PRESET6,0,1,28.408
crc64,PRESET6,0,0,28.496
crc64,PRESET7,1,1,58.96
crc64,PRESET7,1,0,59.006
none,PRESET2,0,0,8.522
crc64,PRESET7,0,1,28.894
crc64,PRESET7,0,0,28.878
crc64,PRESET8,1,1,59.45
crc64,PRESET8,1,0,59.442
crc64,PRESET8,0,1,29.18
crc64,PRESET8,0,0,29.16
crc64,PRESET9,1,1,60.044
crc64,PRESET9,1,0,59.852
crc64,PRESET9,0,1,29.354
crc64,PRESET9,0,0,29.368
none,PRESET3,1,1,51.568
sha256,PRESET0,1,1,42.602
sha256,PRESET0,1,0,42.662
sha256,PRESET0,0,1,4.966
sha256,PRESET0,0,0,4.97
sha256,PRESET1,1,1,49.11
sha256,PRESET1,1,0,48.99
sha256,PRESET1,0,1,6.508
sha256,PRESET1,0,0,6.51
sha256,PRESET2,1,1,52.752
sha256,PRESET2,1,0,52.706
none,PRESET3,1,0,50.76
sha256,PRESET2,0,1,9.05
sha256,PRESET2,0,0,9.07
sha256,PRESET3,1,1,52.148
sha256,PRESET3,1,0,52.16
sha256,PRESET3,0,1,11.666
sha256,PRESET3,0,0,11.534
sha256,PRESET4,1,1,54.762
sha256,PRESET4,1,0,54.852
sha256,PRESET4,0,1,17.434
sha256,PRESET4,0,0,17.41
none,PRESET3,0,1,10.734
sha256,PRESET5,1,1,52.752
sha256,PRESET5,1,0,52.778
sha256,PRESET5,0,1,21.902
sha256,PRESET5,0,0,21.906
sha256,PRESET6,1,1,56.554
sha256,PRESET6,1,0,56.892
sha256,PRESET6,0,1,28.02
sha256,PRESET6,0,0,28.054
sha256,PRESET7,1,1,58.222
sha256,PRESET7,1,0,58.104
none,PRESET3,0,0,11.036
sha256,PRESET7,0,1,28.372
sha256,PRESET7,0,0,28.406
sha256,PRESET8,1,1,58.526
sha256,PRESET8,1,0,58.694
sha256,PRESET8,0,1,28.686
sha256,PRESET8,0,0,28.672
sha256,PRESET9,1,1,59.11
sha256,PRESET9,1,0,59.136
sha256,PRESET9,0,1,29.506
sha256,PRESET9,0,0,29.52
none,PRESET4,1,1,54.528
none,PRESET4,1,0,54.942
none,PRESET4,0,1,17.684
none,PRESET4,0,0,17.676
none,PRESET0,0,1,4.454
