check,preset,extreme,sparse,PERF
none,PRESET0,1,1,63.778
none,PRESET0,1,0,63.734
none,PRESET2,0,1,17.246
crc64,PRESET5,1,1,80.578
crc64,PRESET5,1,0,80.678
crc64,PRESET5,0,1,36.538
crc64,PRESET5,0,0,36.534
crc64,PRESET6,1,1,87.244
crc64,PRESET6,1,0,87.306
crc64,PRESET6,0,1,44.506
crc64,PRESET6,0,0,44.49
crc64,PRESET7,1,1,90.36
crc64,PRESET7,1,0,90.316
none,PRESET2,0,0,17.26
crc64,PRESET7,0,1,45.07
crc64,PRESET7,0,0,45.086
crc64,PRESET8,1,1,91.338
crc64,PRESET8,1,0,91.306
crc64,PRESET8,0,1,45.67
crc64,PRESET8,0,0,45.58
crc64,PRESET9,1,1,92.122
crc64,PRESET9,1,0,92.222
crc64,PRESET9,0,1,46.442
crc64,PRESET9,0,0,46.474
none,PRESET3,1,1,77.994
sha256,PRESET0,1,1,64.342
sha256,PRESET0,1,0,64.324
sha256,PRESET0,0,1,9.742
sha256,PRESET0,0,0,9.742
sha256,PRESET1,1,1,74.938
sha256,PRESET1,1,0,74.964
sha256,PRESET1,0,1,13.866
sha256,PRESET1,0,0,13.808
sha256,PRESET2,1,1,79.538
sha256,PRESET2,1,0,79.542
none,PRESET3,1,0,77.808
sha256,PRESET2,0,1,18.046
sha256,PRESET2,0,0,18.046
sha256,PRESET3,1,1,78.64
sha256,PRESET3,1,0,78.826
sha256,PRESET3,0,1,23.46
sha256,PRESET3,0,0,23.40
sha256,PRESET4,1,1,83.452
sha256,PRESET4,1,0,83.406
sha256,PRESET4,0,1,30.90
sha256,PRESET4,0,0,30.934
none,PRESET3,0,1,22.65
sha256,PRESET5,1,1,81.278
sha256,PRESET5,1,0,81.142
sha256,PRESET5,0,1,37.114
sha256,PRESET5,0,0,37.196
sha256,PRESET6,1,1,87.862
sha256,PRESET6,1,0,87.674
sha256,PRESET6,0,1,45.142
sha256,PRESET6,0,0,45.144
sha256,PRESET7,1,1,90.842
sha256,PRESET7,1,0,90.88
none,PRESET3,0,0,22.654
sha256,PRESET7,0,1,45.746
sha256,PRESET7,0,0,45.712
sha256,PRESET8,1,1,91.884
sha256,PRESET8,1,0,91.792
sha256,PRESET8,0,1,46.178
sha256,PRESET8,0,0,46.288
sha256,PRESET9,1,1,92.842
sha256,PRESET9,1,0,92.772
sha256,PRESET9,0,1,47.158
sha256,PRESET9,0,0,47.126
none,PRESET4,1,1,82.748
none,PRESET4,1,0,82.726
none,PRESET4,0,1,30.168
none,PRESET4,0,0,30.204
none,PRESET0,0,1,8.97
none,PRESET5,1,1,80.442
none,PRESET5,1,0,80.614
none,PRESET5,0,1,36.384
none,PRESET5,0,0,36.43
none,PRESET6,1,1,87.14
none,PRESET6,1,0,87.054
none,PRESET6,0,1,44.364
none,PRESET6,0,0,44.464
none,PRESET7,1,1,90.052
none,PRESET7,1,0,90.176
none,PRESET0,0,0,8.976
none,PRESET7,0,1,44.976
none,PRESET7,0,0,44.928
none,PRESET8,1,1,91.034
none,PRESET8,1,0,91.158
none,PRESET8,0,1,45.56
none,PRESET8,0,0,45.536
none,PRESET9,1,1,92.098
none,PRESET9,1,0,92.058
none,PRESET9,0,1,46.446
none,PRESET9,0,0,46.348
