1.101,,0.03445
0.0724,,0.23799726
0.0433,,
0.2971,,
0.0009,,
0.0436,,
0.0306,,
1.1092,,
0.0026,,
0.0077,,
0.0048,,
0.2943,,
0.0016,,
0.0161,,
0.021,,
1.1939,,
0.0023,,
0.034,,
1.1541,,
0.0202,,
1.2113,,
0.07,,
1.1157,,
1.1053,,
0.0278,,
0.0002,,
0.026,,
0.0032,,
0.3706,,
0.0616,,
1.169,,
0.0019,,
0.2962,,
0.0451,,
1.1148,,
0.0104,,
0.0147,,
0.0009,,
1.0461,,
0.0186,,
0.2955,,
0.3706,,
0.0675,,
0.0363,,
0.3019,,
0.0066,,
0.0068,,
0.0268,,
0.0051,,
0.2991,,
0.0078,,
0.0025,,
0.3722,,
1.1563,,
0.027,,
0.056,,
0.0028,,
0.0013,,
0.3684,,
0.0137,,
0.0365,,
1.0465,,
0.0165,,
0.2957,,
0.0418,,
0.3075,,
1.1152,,
0.0197,,
1.0841,,
0.017,,
0.1025,,
1.0276,,
0.0369,,
0.0065,,
1.1002,,
0.0052,,
0.0616,,
0.3724,,
0.063,,
0.3756,,
0.001,,
0.2948,,
0.0313,,
0.0742,,
0.0047,,
0.0974,,
0.0138,,
0.0003,,
0.0742,,
0.3007,,
0.0388,,
0.0335,,
0.305,,
0.0041,,
1.028,,
0.0013,,
0.0043,,
0.0024,,
0.0403,,
0.0054,,
0.0045,,
0.0903,,
0.0028,,
0.0184,,
0.0026,,
0.0038,,
0.0446,,
0.3716,,
0.0303,,
0.0002,,
0.01,,
0.0026,,
1.0849,,
0.0099,,
0.3736,,
1.1972,,
0.0024,,
1.0824,,
0.0709,,
0.2983,,
0.005,,
0.3721,,
0.0466,,
0.2975,,
0.0051,,
0.0261,,
0.0248,,
0.0048,,
0.0269,,
1.1036,,
0.0326,,
0.0017,,
0.0134,,
0.0024,,
1.2108,,
0.0059,,
0.0002,,
0.0349,,
0.3703,,
0.0038,,
0.0443,,
0.0002,,
0.0354,,
0.2999,,
0.0027,,
0.0035,,
