Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance
Y,N,N,Y,N,Y,Y,Y,N,1140
Y,Y,Y,Y,N,N,N,N,Y,1170
Y,Y,Y,N,Y,Y,Y,Y,N,1920
Y,Y,N,Y,Y,N,Y,Y,N,1080
Y,Y,Y,Y,Y,N,Y,Y,N,2190
Y,N,Y,Y,Y,N,N,N,Y,1200
Y,Y,Y,N,Y,N,N,N,Y,1320
Y,N,N,Y,N,Y,Y,N,N,1080
Y,Y,Y,Y,Y,N,Y,N,Y,1200
Y,N,N,Y,Y,N,Y,Y,N,1380
Y,Y,N,N,Y,N,Y,Y,N,1050
Y,Y,N,N,N,Y,Y,N,N,840
Y,N,Y,Y,Y,N,Y,N,N,2190
Y,N,N,Y,Y,N,Y,N,Y,1230
Y,N,Y,Y,N,Y,N,N,N,1980
Y,N,Y,Y,Y,Y,N,Y,N,2190
Y,Y,N,Y,N,N,Y,N,Y,960
Y,N,N,N,N,Y,N,Y,N,1260
Y,Y,N,Y,N,N,Y,Y,N,1020
Y,Y,Y,N,Y,Y,N,N,N,1770
Y,Y,Y,N,N,Y,N,N,Y,1200
Y,N,N,N,N,N,Y,N,Y,1080
Y,N,Y,N,Y,Y,Y,N,Y,1230
Y,Y,N,Y,N,N,Y,N,N,960
Y,Y,N,Y,Y,N,N,Y,N,1140
Y,N,Y,Y,Y,N,Y,N,Y,1110
Y,N,N,N,N,Y,Y,N,N,1020
