time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance,[DomFlist],DomEst,RelErr
Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,251.36,[11Y 6Y 10Y ],263.2029,0.0471
Y,Y,N,Y,N,N,N,N,N,N,Y,240.35,[11Y 6N 5N 2Y ],254.0917,0.0572
Y,N,Y,N,N,N,Y,Y,N,Y,N,218.89,[11N 2N 3Y ],230.3188,0.0522
Y,N,Y,N,Y,Y,Y,N,Y,Y,N,220.80,[11N 2N 3Y ],230.3188,0.0431
Y,N,Y,N,N,Y,N,Y,N,N,N,224.18,[11N 2N 3Y ],230.3188,0.0274
Y,N,Y,N,N,N,N,Y,N,N,N,221.38,[11N 2N 3Y ],230.3188,0.0404
Y,Y,Y,Y,N,Y,N,Y,N,Y,N,247.27,[11N 2Y ],246.1050,0.0047
Y,N,Y,Y,N,Y,Y,N,Y,Y,N,230.77,[11N 2N 3Y ],230.3188,0.0020
Y,N,Y,Y,Y,N,N,Y,N,N,Y,249.49,[11Y 6N 5Y ],258.1057,0.0345
Y,N,N,N,Y,Y,Y,Y,N,Y,N,203.86,[11N 2N 3N 10Y ],214.6483,0.0529
Y,Y,Y,Y,N,Y,Y,N,N,N,Y,267.28,[11Y 6Y 10N ],256.7044,0.0396
Y,Y,N,N,N,N,N,N,N,Y,Y,228.30,[11Y 6N 5N 2Y ],254.0917,0.1130
Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,232.96,[11N 2N 3Y ],230.3188,0.0113
Y,N,N,N,Y,N,Y,Y,N,N,N,207.89,[11N 2N 3N 10N ],213.2550,0.0258
Y,Y,N,N,Y,N,Y,Y,N,Y,Y,233.12,[11Y 6N 5Y ],258.1057,0.1072
Y,Y,N,Y,Y,Y,Y,N,N,N,Y,240.43,[11Y 6Y 10N ],256.7044,0.0677
Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,255.36,[11N 2Y ],246.1050,0.0362
Y,N,Y,N,Y,N,N,Y,N,N,N,221.78,[11N 2N 3Y ],230.3188,0.0385
Y,Y,Y,N,N,N,N,N,N,N,N,232.70,[11N 2Y ],246.1050,0.0576
Y,N,N,Y,Y,Y,Y,Y,N,Y,N,214.50,[11N 2N 3N 10Y ],214.6483,0.0007
Y,N,N,N,N,Y,Y,Y,N,Y,N,203.19,[11N 2N 3N 10Y ],214.6483,0.0564
Y,N,N,Y,N,N,Y,N,Y,N,Y,260.88,[11Y 6N 5N 2N ],249.1471,0.0450
Y,Y,N,Y,N,N,N,Y,N,N,N,238.62,[11N 2Y ],246.1050,0.0314
Y,Y,Y,N,Y,N,N,N,N,N,N,245.94,[11N 2Y ],246.1050,0.0007
Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,254.26,[11N 2Y ],246.1050,0.0321
Y,Y,Y,Y,N,N,Y,N,Y,Y,N,247.50,[11N 2Y ],246.1050,0.0056
Y,Y,Y,Y,N,N,Y,N,N,N,N,255.47,[11N 2Y ],246.1050,0.0367
Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,239.32,[11N 2Y ],246.1050,0.0284
Y,Y,N,N,N,N,Y,Y,N,N,Y,234.70,[11Y 6N 5N 2Y ],254.0917,0.0826
Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,251.81,[11Y 6Y 10N ],256.7044,0.0194
Y,N,N,Y,Y,N,Y,Y,N,Y,Y,260.82,[11Y 6N 5Y ],258.1057,0.0104
Y,Y,N,Y,N,N,Y,Y,Y,Y,N,235.92,[11N 2Y ],246.1050,0.0432
Y,N,N,Y,N,Y,Y,N,Y,Y,Y,265.40,[11Y 6Y 10Y ],263.2029,0.0083
Y,Y,Y,Y,N,Y,N,N,N,Y,Y,260.50,[11Y 6Y 10Y ],263.2029,0.0104
Y,N,N,N,Y,N,Y,Y,Y,Y,Y,215.27,[11Y 6N 5Y ],258.1057,0.1990
Y,Y,Y,N,N,Y,Y,Y,Y,N,N,239.37,[11N 2Y ],246.1050,0.0281
Y,Y,N,N,Y,N,N,N,N,Y,N,221.61,[11N 2Y ],246.1050,0.1105
Y,N,N,N,N,N,Y,Y,Y,Y,Y,214.33,[11Y 6N 5N 2N ],249.1471,0.1624
Y,N,Y,N,Y,Y,Y,N,N,Y,Y,236.35,[11Y 6Y 10Y ],263.2029,0.1136
Y,Y,N,Y,N,Y,Y,N,N,Y,N,237.87,[11N 2Y ],246.1050,0.0346
Y,N,N,N,N,Y,N,Y,N,Y,Y,214.65,[11Y 6Y 10Y ],263.2029,0.2262
Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,264.40,[11Y 6Y 10Y ],263.2029,0.0045
Y,Y,Y,Y,N,N,N,N,N,N,Y,253.15,[11Y 6N 5N 2Y ],254.0917,0.0037
Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,249.87,[11Y 6N 5Y ],258.1057,0.0330
Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,249.34,[11N 2Y ],246.1050,0.0130
Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,262.68,[11Y 6Y 10N ],256.7044,0.0227
Y,N,N,N,Y,Y,Y,N,Y,N,N,203.93,[11N 2N 3N 10N ],213.2550,0.0457
Y,N,Y,N,Y,N,Y,N,Y,Y,N,222.37,[11N 2N 3Y ],230.3188,0.0357
Y,Y,Y,Y,Y,N,Y,Y,N,N,N,252.60,[11N 2Y ],246.1050,0.0257
Y,Y,N,N,Y,Y,Y,N,N,N,Y,255.12,[11Y 6Y 10N ],256.7044,0.0062
Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,257.17,[11N 2Y ],246.1050,0.0430
Y,Y,Y,Y,N,N,Y,N,Y,N,Y,267.43,[11Y 6N 5N 2Y ],254.0917,0.0499
Y,N,Y,Y,Y,N,N,N,N,N,N,224.33,[11N 2N 3Y ],230.3188,0.0267
Y,N,Y,N,N,N,Y,N,N,N,Y,234.87,[11Y 6N 5N 2N ],249.1471,0.0608
Y,N,N,Y,Y,N,Y,Y,Y,Y,N,216.91,[11N 2N 3N 10Y ],214.6483,0.0104
Y,Y,Y,N,N,N,Y,N,Y,N,Y,249.99,[11Y 6N 5N 2Y ],254.0917,0.0164
Y,N,N,Y,N,Y,N,N,N,N,Y,266.19,[11Y 6Y 10N ],256.7044,0.0356
Y,N,Y,N,N,N,Y,Y,Y,N,N,221.10,[11N 2N 3Y ],230.3188,0.0417
Y,N,N,N,Y,Y,Y,Y,Y,Y,N,207.65,[11N 2N 3N 10Y ],214.6483,0.0337
Y,N,N,Y,Y,N,N,Y,N,N,Y,264.74,[11Y 6N 5Y ],258.1057,0.0251
Y,N,N,N,Y,Y,Y,Y,Y,N,N,204.29,[11N 2N 3N 10N ],213.2550,0.0439
Y,Y,Y,N,N,N,Y,N,N,N,N,244.50,[11N 2Y ],246.1050,0.0066
Y,Y,N,Y,N,N,Y,N,N,Y,Y,246.38,[11Y 6N 5N 2Y ],254.0917,0.0313
