no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
Y,N,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,N,437.920
Y,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,N,Y,N,494.597
Y,Y,N,N,N,Y,N,N,Y,N,Y,N,Y,N,N,Y,687.600
Y,Y,N,N,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,543.083
Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,476.953
Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,260.637
Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,266.527
Y,N,N,N,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,278.197
Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,579.023
Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,517.123
Y,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,N,Y,N,428.027
Y,N,Y,N,N,N,Y,N,Y,Y,N,N,Y,Y,N,N,260.480
Y,N,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,Y,821.510
Y,N,Y,N,Y,Y,N,N,Y,N,N,Y,Y,N,Y,N,562.923
Y,Y,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,Y,N,485.477
Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,253.010
Y,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,817.793
Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,456.740
Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,254.733
Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,817.340
Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,446.630
Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,261.310
Y,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,614.570
Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,434.643
Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,266.510
Y,Y,N,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,286.327
Y,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,N,N,263.887
Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,279.013
Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,N,N,Y,690.590
Y,N,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,N,Y,N,512.773
