no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
Y,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,291.620
Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,Y,N,Y,N,521.510
Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,616.133
Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,604.483
Y,N,N,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,N,383.260
Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,295.360
Y,N,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,295.577
Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,286.337
Y,N,Y,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,N,505.857
Y,Y,N,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,263.847
Y,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,672.207
Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N,Y,N,486.973
Y,Y,N,N,N,Y,N,N,Y,N,Y,N,Y,N,N,Y,687.600
Y,N,Y,N,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,380.277
Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,287.060
Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,706.063
Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,476.953
Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,N,365.040
Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,368.630
Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,N,Y,N,425.247
Y,Y,N,N,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,493.440
Y,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,741.887
Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,666.493
Y,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,N,514.170
Y,N,Y,Y,N,Y,N,N,Y,N,Y,N,Y,N,N,Y,715.993
Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,517.123
Y,N,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,299.907
Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,275.923
Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,Y,683.520
Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,416.263
Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,671.400
Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,419.397
Y,Y,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,N,N,256.720
Y,Y,N,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,291.577
Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,299.770
Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,279.927
Y,N,N,Y,N,Y,Y,N,Y,N,N,Y,Y,N,Y,N,432.757
Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,487.583
Y,N,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,Y,818.040
Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,432.770
Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,270.090
Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,424.490
Y,N,N,N,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,515.663
Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,576.277
Y,N,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,607.033
Y,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,742.463
Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,310.263
Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,433.693
