HAVE_CRYPTO,HAVE_HASH,HAVE_REPLICATION,HAVE_VERIFY,HAVE_SEQUENCE,HAVE_STATISTICS,DIAGNOSTIC,PAGESIZE,PS1K,PS4K,PS8K,PS16K,PS32K,CACHESIZE,CS32MB,CS16MB,CS64MB,CS512MB,Performance,[DomFlist],DomEst,RelErr
Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,37.7435,[13Y ],19.3363,0.4877
Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,37.7236,[13Y ],19.3363,0.4874
Y,N,Y,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,37.6331,[13Y ],19.3363,0.4862
N,Y,N,Y,N,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,1.2708,[13N 1N 2Y ],0.8592,0.3239
N,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,0.5721,[13N 1N 2N ],0.5416,0.0534
Y,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,Y,5.8296,[13N 1Y 9N ],9.6693,0.6587
Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,Y,N,N,10.7379,[13N 1Y 9N ],9.6693,0.0995
N,N,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,0.4742,[13N 1N 2N ],0.5416,0.1421
Y,N,N,N,Y,N,N,Y,N,N,N,N,Y,Y,N,N,Y,N,37.8136,[13Y ],19.3363,0.4886
N,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,Y,N,0.5250,[13N 1N 2N ],0.5416,0.0316
Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,10.9232,[13N 1Y 9N ],9.6693,0.1148
Y,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,N,6.5138,[13N 1Y 9N ],9.6693,0.4844
N,N,N,N,Y,N,N,Y,N,N,N,N,Y,Y,N,Y,N,N,0.9089,[13Y ],19.3363,20.2744
N,Y,N,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,2.1571,[13Y ],19.3363,7.9640
Y,N,N,Y,Y,N,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,6.5208,[13N 1Y 9N ],9.6693,0.4828
N,Y,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,N,1.2568,[13N 1N 2Y ],0.8592,0.3164
Y,Y,Y,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,Y,10.9099,[13N 1Y 9N ],9.6693,0.1137
Y,N,Y,N,N,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,6.5289,[13N 1Y 9N ],9.6693,0.4810
N,Y,Y,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,2.1361,[13Y ],19.3363,8.0522
N,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,1.2627,[13N 1N 2Y ],0.8592,0.3196
Y,N,N,N,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,6.5295,[13N 1Y 9N ],9.6693,0.4809
N,N,Y,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,0.4982,[13N 1N 2N ],0.5416,0.0871
Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,37.6887,[13Y ],19.3363,0.4869
Y,N,N,N,Y,N,Y,Y,N,Y,N,N,N,Y,N,N,N,Y,6.5280,[13N 1Y 9N ],9.6693,0.4812
N,Y,Y,N,N,N,N,Y,N,N,N,Y,N,Y,N,Y,N,N,1.2610,[13N 1N 2Y ],0.8592,0.3186
Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,2.0312,[13N 1Y 9Y ],2.9023,0.4289
Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,Y,N,N,3.2315,[13N 1Y 9Y ],2.9023,0.1019
Y,Y,Y,N,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,39.0116,[13Y ],19.3363,0.5043
N,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,0.5388,[13N 1N 2Y ],0.8592,0.5946
Y,Y,Y,N,N,N,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,5.8266,[13N 1Y 9N ],9.6693,0.6595
N,N,N,N,Y,Y,N,Y,N,N,Y,N,N,Y,N,Y,N,N,0.4997,[13N 1N 2N ],0.5416,0.0838
