time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance
Y,N,N,N,N,N,Y,Y,Y,Y,Y,214.33
Y,Y,N,Y,N,N,Y,N,Y,N,Y,249.66
Y,Y,N,N,Y,Y,Y,Y,N,N,Y,256.23
Y,Y,Y,Y,Y,Y,N,Y,N,N,N,254.89
Y,N,N,Y,N,Y,Y,N,Y,Y,Y,263.13
Y,Y,Y,Y,Y,N,N,N,N,N,N,243.78
Y,Y,N,N,Y,N,Y,N,Y,N,Y,236.98
Y,N,N,N,Y,N,Y,N,Y,Y,N,205.87
Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,252.81
Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,252.51
Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,251.25
Y,Y,N,N,N,N,N,N,N,Y,N,219.15
Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,263.19
Y,N,N,Y,N,N,Y,N,N,Y,N,210.71
Y,N,Y,Y,Y,Y,Y,Y,N,N,N,222.63
Y,Y,N,N,N,N,Y,Y,N,Y,Y,232.27
Y,N,N,Y,N,Y,Y,Y,N,N,N,218.23
Y,Y,N,Y,Y,N,N,N,N,N,Y,239.96
Y,N,N,Y,N,Y,N,N,N,Y,N,209.58
Y,Y,Y,N,Y,Y,Y,N,N,N,N,246.50
Y,N,N,N,Y,Y,N,Y,N,Y,N,201.97
Y,N,Y,N,Y,Y,Y,N,N,N,Y,236.43
Y,Y,N,N,Y,N,Y,Y,N,Y,N,224.30
Y,Y,N,N,N,Y,Y,N,Y,Y,N,229.24
Y,Y,N,N,N,N,N,Y,N,Y,N,224.73
Y,Y,N,Y,N,N,N,N,N,N,N,248.17
Y,N,N,N,N,N,Y,Y,Y,N,N,204.18
Y,Y,Y,N,N,N,Y,N,Y,Y,Y,248.69
Y,N,Y,Y,N,Y,N,N,N,N,Y,252.27
Y,N,N,N,N,Y,Y,N,Y,N,Y,214.28
Y,Y,N,N,N,N,Y,Y,N,Y,N,223.49
Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,251.00
Y,Y,N,N,Y,Y,Y,N,N,Y,Y,234.53
Y,N,N,N,Y,Y,N,Y,N,N,N,202.94
Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,234.92
Y,N,N,Y,Y,Y,N,N,N,N,N,216.37
Y,Y,N,N,N,N,N,N,N,N,Y,267.43
Y,N,Y,N,Y,N,Y,N,Y,N,Y,232.47
Y,N,Y,N,N,Y,Y,Y,N,N,Y,232.59
Y,N,Y,Y,Y,N,N,Y,N,Y,N,225.80
Y,N,N,Y,N,N,Y,N,N,N,N,214.72
Y,N,N,Y,N,Y,Y,N,Y,Y,Y,265.40
Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,249.83
Y,Y,N,N,Y,Y,N,Y,N,Y,Y,235.57
Y,N,N,N,Y,N,Y,Y,Y,N,Y,214.00
Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,236.84
Y,Y,Y,N,Y,N,N,N,N,N,N,245.94
Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,251.43
Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,250.48
Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,267.17
Y,N,N,N,N,Y,Y,Y,Y,N,Y,217.65
Y,N,Y,N,N,N,Y,Y,N,Y,N,218.89
Y,Y,Y,Y,N,N,Y,N,N,Y,N,247.77
Y,Y,Y,N,N,Y,Y,Y,Y,N,N,245.60
Y,N,N,N,Y,N,N,Y,N,Y,Y,217.19
Y,N,Y,N,N,Y,Y,N,Y,N,Y,232.64
Y,N,N,Y,Y,N,N,Y,N,N,N,216.84
Y,N,Y,Y,Y,Y,N,Y,N,N,Y,250.61
Y,N,N,Y,N,N,N,Y,N,Y,Y,247.37
Y,N,Y,Y,Y,N,Y,N,Y,N,N,227.75
Y,Y,N,Y,N,N,Y,N,N,Y,N,232.86
Y,N,Y,N,Y,N,Y,Y,N,Y,Y,233.43
