time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance
Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,264.40
Y,Y,Y,N,N,Y,Y,N,N,N,Y,255.13
Y,N,Y,N,Y,Y,Y,N,N,Y,N,219.87
Y,Y,Y,N,Y,N,N,Y,N,N,N,246.27
Y,N,Y,N,Y,N,Y,Y,N,Y,N,219.63
Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,251.91
Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,236.17
Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,251.13
Y,Y,N,N,Y,Y,Y,Y,N,N,Y,256.23
Y,N,N,N,N,N,Y,Y,Y,N,Y,217.55
Y,N,N,N,N,N,Y,Y,Y,Y,N,205.99
Y,N,N,Y,N,Y,N,Y,N,Y,N,215.10
Y,Y,N,N,N,Y,Y,N,N,Y,N,227.18
Y,N,Y,N,N,Y,N,N,N,N,Y,237.10
Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,253.47
Y,N,Y,Y,Y,N,N,Y,N,N,Y,249.49
Y,N,N,N,N,N,Y,Y,N,N,N,202.39
Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,265.65
Y,Y,Y,N,N,Y,N,Y,N,N,N,244.73
Y,N,N,N,Y,Y,Y,N,Y,Y,Y,216.87
Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,230.79
Y,Y,N,N,Y,N,Y,N,Y,N,Y,236.98
Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,250.43
Y,N,Y,Y,N,Y,Y,N,Y,Y,N,230.47
Y,N,N,N,Y,N,Y,Y,Y,Y,N,202.69
Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,237.23
Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,251.16
Y,N,N,N,Y,Y,N,Y,N,Y,N,201.97
Y,N,Y,Y,N,Y,N,Y,N,N,Y,252.93
Y,Y,N,Y,Y,Y,Y,N,N,N,N,256.97
Y,Y,N,N,N,Y,N,Y,N,N,N,231.34
Y,Y,Y,Y,Y,N,Y,N,N,Y,N,251.41
Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,268.80
Y,N,Y,N,Y,N,Y,N,Y,Y,N,222.37
Y,N,N,N,Y,N,Y,N,Y,N,N,203.56
Y,N,Y,N,N,N,Y,Y,N,Y,N,218.89
Y,Y,Y,Y,Y,N,N,Y,N,Y,N,247.80
Y,Y,Y,N,Y,N,Y,N,Y,N,Y,249.44
Y,N,Y,Y,N,N,N,Y,N,Y,Y,249.53
Y,Y,Y,N,N,Y,N,N,N,N,Y,255.21
Y,Y,N,Y,N,Y,N,N,N,Y,N,232.33
Y,N,N,N,Y,N,Y,Y,Y,Y,Y,219.87
Y,N,Y,Y,Y,N,Y,N,Y,N,N,227.75
Y,N,N,N,Y,N,Y,N,Y,Y,N,205.87
Y,Y,N,Y,N,N,Y,N,Y,N,N,238.25
Y,N,N,Y,Y,Y,N,N,N,Y,Y,257.43
Y,N,N,N,Y,N,Y,N,Y,N,Y,213.86
Y,N,N,Y,Y,N,N,N,N,N,N,217.29
Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,250.53
Y,Y,N,N,Y,N,Y,N,N,N,N,231.19
Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,236.59
Y,N,Y,N,N,N,Y,Y,N,N,N,220.42
Y,N,N,N,Y,Y,Y,N,Y,N,Y,216.63
Y,Y,N,N,N,Y,Y,Y,Y,Y,N,228.34
Y,N,Y,Y,N,N,Y,Y,Y,N,Y,250.12
Y,N,N,Y,Y,N,Y,Y,N,N,N,211.59
Y,Y,N,Y,N,N,Y,N,N,N,N,239.98
Y,Y,N,N,N,N,Y,N,Y,Y,Y,235.12
Y,Y,N,N,Y,Y,Y,N,Y,Y,N,229.82
Y,Y,N,N,N,Y,Y,Y,N,Y,N,225.26
Y,N,Y,Y,Y,N,N,N,N,Y,Y,245.79
Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,252.58
