Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance
Y,N,N,N,N,Y,N,Y,N,1260
Y,N,N,Y,Y,Y,Y,N,N,1110
Y,N,N,Y,Y,N,N,N,N,1350
Y,Y,N,Y,Y,N,Y,N,Y,990
Y,Y,Y,Y,N,Y,Y,N,N,1770
Y,N,N,N,Y,N,Y,Y,N,1380
Y,Y,Y,N,N,N,N,N,N,1950
Y,N,N,N,N,Y,Y,N,Y,1080
Y,Y,N,N,N,N,N,N,N,990
Y,Y,N,Y,Y,Y,Y,Y,N,990
Y,Y,Y,N,N,N,N,Y,N,2280
Y,Y,Y,N,Y,N,Y,N,N,1890
Y,Y,N,Y,N,Y,N,N,N,930
Y,Y,N,N,N,Y,Y,N,N,840
Y,Y,N,N,N,N,N,N,Y,990
Y,N,N,Y,Y,Y,N,N,Y,1140
Y,Y,Y,Y,Y,N,Y,N,Y,1200
Y,Y,N,N,N,Y,N,N,Y,930
