Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance
Y,N,Y,N,Y,N,N,N,Y,1380
Y,N,N,Y,N,Y,Y,Y,N,1140
Y,N,Y,N,Y,N,N,N,N,2100
Y,Y,N,N,N,Y,Y,N,Y,870
Y,Y,N,Y,N,N,Y,Y,N,1020
Y,N,Y,N,N,N,Y,Y,N,2250
Y,N,Y,N,Y,Y,N,Y,N,2190
Y,N,Y,N,N,Y,Y,Y,N,1980
Y,N,N,Y,N,Y,Y,N,Y,1050
Y,N,Y,Y,Y,N,N,N,N,2370
Y,N,Y,Y,Y,N,Y,N,Y,1110
Y,Y,Y,Y,Y,N,Y,N,N,2070
Y,N,N,Y,Y,N,N,N,N,1350
Y,N,N,N,Y,Y,Y,N,N,990
Y,N,Y,Y,N,Y,N,N,N,1980
Y,Y,N,N,N,N,N,N,Y,990
Y,Y,Y,Y,Y,N,N,Y,N,2340
Y,N,N,N,N,Y,N,Y,N,1260
