Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance
Y,N,Y,Y,N,Y,Y,N,Y,1230
Y,N,Y,Y,Y,Y,Y,N,N,1890
Y,Y,N,Y,N,Y,Y,Y,N,960
Y,N,N,Y,Y,N,Y,Y,N,1380
Y,N,Y,N,N,N,Y,N,Y,1350
Y,Y,N,Y,Y,Y,N,N,N,960
Y,Y,N,N,N,Y,N,Y,N,1020
Y,N,N,N,N,Y,Y,N,Y,1080
Y,Y,N,Y,N,N,N,N,N,1050
Y,N,N,Y,Y,Y,N,N,N,1200
Y,Y,N,N,Y,N,Y,N,N,930
Y,N,N,N,N,Y,Y,Y,N,1140
Y,N,Y,Y,Y,Y,Y,N,Y,1170
Y,N,Y,N,N,N,N,Y,N,2490
Y,N,Y,N,N,Y,Y,Y,N,1980
Y,N,Y,N,N,N,Y,N,N,1920
Y,Y,N,Y,Y,N,N,N,N,1080
Y,Y,Y,N,Y,Y,Y,Y,N,1920
Y,N,N,Y,N,Y,N,Y,N,1260
Y,Y,N,N,Y,Y,Y,N,Y,900
Y,Y,N,N,Y,N,N,N,N,960
Y,Y,N,Y,N,Y,N,N,Y,930
Y,N,Y,Y,N,N,Y,N,Y,1320
Y,N,Y,N,N,Y,N,N,N,1770
Y,Y,Y,Y,Y,Y,N,N,Y,1170
Y,Y,N,Y,Y,Y,N,N,Y,930
Y,Y,Y,Y,Y,Y,N,N,N,1920
Y,Y,N,N,N,Y,N,N,N,900
Y,Y,Y,Y,N,Y,Y,Y,N,1860
