Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance
Y,N,Y,N,Y,N,Y,N,Y,1110
Y,Y,Y,Y,Y,N,Y,Y,N,2190
Y,N,N,N,N,Y,Y,N,N,1020
Y,N,Y,N,N,Y,Y,N,N,1680
Y,N,N,N,Y,Y,Y,N,Y,1050
Y,N,N,N,N,N,Y,N,Y,1080
Y,N,Y,N,Y,Y,Y,N,N,1740
Y,Y,Y,N,Y,Y,Y,Y,N,1920
Y,N,N,N,Y,N,Y,N,Y,1200
Y,N,Y,Y,Y,N,N,Y,N,2640
Y,N,N,N,N,N,N,Y,N,1410
Y,Y,Y,N,Y,Y,N,N,Y,1080
Y,Y,N,Y,Y,Y,N,Y,N,1020
Y,N,Y,N,Y,Y,Y,N,Y,1230
Y,N,Y,Y,N,Y,Y,N,Y,1230
Y,Y,N,Y,N,N,N,N,Y,990
Y,Y,Y,Y,N,N,Y,Y,N,2160
Y,N,N,N,N,N,Y,N,N,1110
Y,Y,Y,Y,N,N,Y,N,Y,1170
Y,Y,Y,N,Y,N,N,N,N,1950
Y,N,Y,N,N,Y,Y,Y,N,1980
Y,Y,N,N,N,Y,Y,N,Y,870
Y,N,Y,N,N,N,Y,Y,N,2250
Y,Y,N,N,N,N,Y,N,Y,960
Y,N,N,Y,N,Y,N,Y,N,1260
Y,N,Y,Y,Y,N,N,N,N,2370
Y,Y,Y,N,Y,N,Y,N,N,1890
Y,N,N,Y,N,Y,N,N,Y,1110
Y,Y,Y,N,N,Y,Y,Y,N,1860
