Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance,[DomFlist],DomEst,RelErr
Y,N,Y,Y,N,N,Y,N,Y,1320,[6N ],1200.0000,0.0909
Y,Y,Y,Y,N,Y,N,Y,N,1890,[6Y 5N ],1860.0000,0.0159
Y,N,Y,Y,Y,Y,Y,Y,N,2070,[6Y 5Y ],1110.0000,0.4638
Y,N,Y,Y,N,Y,N,N,N,1980,[6Y 5N ],1860.0000,0.0606
Y,N,N,Y,Y,N,N,N,N,1350,[6N ],1200.0000,0.1111
Y,Y,N,N,Y,N,Y,N,N,930,[6N ],1200.0000,0.2903
Y,Y,Y,Y,N,N,Y,Y,N,2160,[6N ],1200.0000,0.4444
Y,Y,Y,N,N,N,Y,N,Y,1020,[6N ],1200.0000,0.1765
Y,N,N,Y,Y,Y,N,N,Y,1140,[6Y 5Y ],1110.0000,0.0263
Y,N,Y,Y,Y,N,Y,Y,N,2430,[6N ],1200.0000,0.5062
Y,N,Y,N,N,Y,N,N,Y,1230,[6Y 5N ],1860.0000,0.5122
Y,Y,N,N,N,Y,Y,N,N,840,[6Y 5N ],1860.0000,1.2143
Y,Y,N,Y,Y,Y,Y,N,Y,870,[6Y 5Y ],1110.0000,0.2759
Y,Y,Y,N,Y,Y,Y,N,Y,1500,[6Y 5Y ],1110.0000,0.2600
Y,Y,Y,N,N,Y,N,Y,N,1980,[6Y 5N ],1860.0000,0.0606
Y,N,N,N,Y,N,Y,N,N,1140,[6N ],1200.0000,0.0526
Y,N,N,Y,N,N,Y,N,Y,1140,[6N ],1200.0000,0.0526
Y,Y,N,Y,N,N,N,N,N,1050,[6N ],1200.0000,0.1429
Y,Y,Y,N,Y,N,Y,N,N,1890,[6N ],1200.0000,0.3651
Y,Y,Y,Y,N,N,N,N,Y,1170,[6N ],1200.0000,0.0256
Y,Y,Y,Y,Y,N,Y,Y,N,2190,[6N ],1200.0000,0.4521
Y,N,N,N,Y,Y,Y,Y,N,1230,[6Y 5Y ],1110.0000,0.0976
Y,Y,Y,N,Y,N,N,Y,N,2280,[6N ],1200.0000,0.4737
Y,Y,N,Y,N,Y,Y,N,Y,870,[6Y 5N ],1860.0000,1.1379
Y,N,N,Y,N,N,Y,N,N,1230,[6N ],1200.0000,0.0244
Y,N,N,Y,Y,Y,N,N,N,1200,[6Y 5Y ],1110.0000,0.0750
Y,Y,N,Y,Y,N,N,N,N,1080,[6N ],1200.0000,0.1111
Y,Y,N,Y,N,Y,Y,N,N,900,[6Y 5N ],1860.0000,1.0667
Y,Y,Y,Y,Y,Y,Y,N,Y,870,[6Y 5Y ],1110.0000,0.2759
Y,N,Y,Y,N,N,Y,Y,N,2310,[6N ],1200.0000,0.4805
Y,N,N,N,N,Y,N,N,N,1080,[6Y 5N ],1860.0000,0.7222
Y,N,Y,N,N,Y,N,N,N,1770,[6Y 5N ],1860.0000,0.0508
Y,Y,N,N,N,N,Y,N,Y,960,[6N ],1200.0000,0.2500
Y,Y,N,Y,Y,Y,Y,Y,N,990,[6Y 5Y ],1110.0000,0.1212
Y,N,Y,N,Y,N,Y,N,Y,1110,[6N ],1200.0000,0.0811
Y,N,Y,Y,N,Y,Y,N,Y,1230,[6Y 5N ],1860.0000,0.5122
Y,N,N,N,N,N,Y,Y,N,1290,[6N ],1200.0000,0.0698
Y,Y,Y,Y,N,Y,N,N,N,1890,[6Y 5N ],1860.0000,0.0159
Y,Y,N,N,Y,Y,Y,N,N,840,[6Y 5Y ],1110.0000,0.3214
Y,Y,Y,Y,N,N,Y,N,Y,1170,[6N ],1200.0000,0.0256
Y,N,Y,Y,N,N,N,N,Y,1290,[6N ],1200.0000,0.0698
Y,Y,Y,Y,N,N,Y,N,N,2010,[6N ],1200.0000,0.4030
Y,Y,N,N,Y,N,N,N,Y,1020,[6N ],1200.0000,0.1765
Y,N,N,N,Y,N,N,Y,N,1410,[6N ],1200.0000,0.1489
Y,Y,Y,N,N,Y,N,N,Y,1200,[6Y 5N ],1860.0000,0.5500
Y,N,Y,N,N,Y,Y,Y,N,1980,[6Y 5N ],1860.0000,0.0606
Y,N,Y,N,N,N,N,N,Y,1200,[6N ],1200.0000,0.0000
Y,N,N,Y,N,Y,N,N,Y,1110,[6Y 5N ],1860.0000,0.6757
Y,Y,N,N,Y,N,Y,Y,N,1050,[6N ],1200.0000,0.1429
Y,Y,Y,N,Y,N,N,N,N,1950,[6N ],1200.0000,0.3846
Y,N,N,N,Y,Y,N,N,N,1020,[6Y 5Y ],1110.0000,0.0882
Y,Y,Y,Y,N,N,N,Y,N,2160,[6N ],1200.0000,0.4444
Y,Y,Y,N,N,N,Y,N,N,1830,[6N ],1200.0000,0.3443
Y,Y,N,Y,N,N,Y,N,N,960,[6N ],1200.0000,0.2500
Y,Y,Y,Y,Y,Y,Y,N,N,1800,[6Y 5Y ],1110.0000,0.3833
Y,N,N,N,N,N,Y,N,N,1110,[6N ],1200.0000,0.0811
Y,Y,N,Y,Y,N,Y,N,N,990,[6N ],1200.0000,0.2121
Y,N,Y,N,Y,N,N,Y,N,2400,[6N ],1200.0000,0.5000
Y,Y,N,N,N,Y,N,N,N,900,[6Y 5N ],1860.0000,1.0667
Y,N,Y,N,N,N,N,N,N,2040,[6N ],1200.0000,0.4118
Y,Y,Y,N,Y,Y,N,N,N,1770,[6Y 5Y ],1110.0000,0.3729
Y,Y,N,N,Y,Y,N,N,N,900,[6Y 5Y ],1110.0000,0.2333
Y,N,N,N,N,Y,Y,Y,N,1140,[6Y 5N ],1860.0000,0.6316
Y,N,N,Y,N,N,Y,Y,N,1320,[6N ],1200.0000,0.0909
Y,N,Y,N,N,N,Y,N,N,1920,[6N ],1200.0000,0.3750
Y,Y,N,N,Y,Y,N,Y,N,1020,[6Y 5Y ],1110.0000,0.0882
Y,N,Y,N,Y,Y,Y,N,N,1740,[6Y 5Y ],1110.0000,0.3621
Y,N,Y,Y,N,Y,Y,N,N,1830,[6Y 5N ],1860.0000,0.0164
Y,N,Y,Y,Y,N,N,N,N,2370,[6N ],1200.0000,0.4937
Y,Y,N,N,N,N,Y,Y,N,1020,[6N ],1200.0000,0.1765
Y,Y,N,N,Y,Y,N,N,Y,930,[6Y 5Y ],1110.0000,0.1935
Y,N,N,Y,N,N,N,N,N,1320,[6N ],1200.0000,0.0909
Y,Y,N,Y,N,Y,N,N,N,930,[6Y 5N ],1860.0000,1.0000
Y,N,Y,N,N,Y,N,Y,N,2130,[6Y 5N ],1860.0000,0.1268
Y,N,Y,N,Y,Y,N,N,Y,1350,[6Y 5Y ],1110.0000,0.1778
Y,Y,N,Y,Y,Y,N,Y,N,1020,[6Y 5Y ],1110.0000,0.0882
Y,Y,N,Y,N,Y,N,Y,N,990,[6Y 5N ],1860.0000,0.8788
Y,N,N,N,Y,N,N,N,Y,1260,[6N ],1200.0000,0.0476
Y,Y,Y,N,N,N,N,Y,N,2280,[6N ],1200.0000,0.4737
Y,N,Y,N,N,N,Y,N,Y,1350,[6N ],1200.0000,0.1111
Y,N,Y,N,Y,N,Y,Y,N,2430,[6N ],1200.0000,0.5062
Y,N,Y,Y,N,N,Y,N,N,2130,[6N ],1200.0000,0.4366
Y,Y,Y,Y,Y,N,N,N,N,2220,[6N ],1200.0000,0.4595
