Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance
Y,N,N,N,Y,N,Y,N,Y,1200
Y,Y,Y,Y,N,Y,Y,N,Y,1470
Y,Y,Y,N,Y,N,Y,N,Y,1170
Y,Y,N,Y,N,N,Y,Y,N,1020
Y,N,Y,Y,N,N,Y,N,N,2130
Y,N,N,Y,N,N,Y,Y,N,1320
Y,Y,N,Y,Y,Y,Y,Y,N,990
Y,Y,Y,N,Y,N,Y,Y,N,2190
Y,N,N,N,Y,N,N,N,Y,1260
Y,N,N,N,Y,N,Y,N,N,1140
Y,Y,Y,N,Y,N,N,N,Y,1320
Y,Y,N,N,Y,N,N,N,N,960
Y,N,Y,Y,N,N,N,N,N,2220
Y,Y,N,N,N,Y,N,N,N,900
Y,Y,Y,Y,Y,Y,Y,Y,N,1860
Y,N,Y,N,N,N,N,N,N,2040
Y,N,N,Y,N,Y,N,Y,N,1260
Y,Y,N,Y,Y,N,Y,N,Y,990
Y,N,Y,Y,N,N,N,Y,N,2460
Y,Y,N,N,Y,Y,Y,N,Y,900
Y,N,Y,Y,Y,Y,Y,Y,N,2070
Y,N,N,N,Y,Y,Y,N,Y,1050
Y,Y,Y,N,Y,N,N,N,N,1950
Y,N,N,N,N,N,Y,Y,N,1290
Y,Y,Y,Y,N,N,Y,N,N,2010
Y,Y,N,N,Y,N,N,N,Y,1020
Y,Y,N,N,Y,Y,N,Y,N,1020
