"V1","V2","V3","V4"
"Sampling Amount","MinSplit","MinBucket","Fault Rate"
"4","4","2","110.61866068674"
"8","4","2","54.7377239851911"
"12","4","2","42.3243294679849"
"16","4","2","29.4007067169167"
"20","4","2","24.9598216867066"
"24","4","2","21.2165413645835"
"28","6","3","22.5016023655734"
"32","6","3","19.4883988290369"
"36","8","4","16.4118192441887"
"40","8","4","12.6603411296461"
"44","8","4","9.16064921106431"
"48","10","5","9.35045796673475"
"52","10","5","9.25757373495657"
"56","12","6","10.3524388620678"
"60","12","6","9.5826420671973"
"64","12","6","8.92061019240236"
"68","14","7","9.10200993684806"
"72","14","7","9.04463727328414"
"76","16","8","10.2287698348502"
"80","16","8","9.41658958329061"
