time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance
Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,249.62
Y,Y,N,Y,N,N,N,N,N,Y,Y,243.93
Y,N,Y,Y,N,Y,Y,N,N,N,Y,250.24
Y,Y,N,N,Y,Y,Y,Y,N,Y,N,225.77
Y,Y,N,Y,N,N,Y,N,Y,Y,N,233.67
Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,249.13
Y,Y,N,N,Y,Y,Y,N,Y,Y,N,227.27
Y,N,Y,N,Y,N,N,N,N,N,N,234.80
Y,N,N,N,Y,N,Y,N,N,Y,N,201.70
Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,251.91
Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,268.80
Y,N,Y,Y,N,N,N,N,N,Y,Y,244.92
Y,N,N,N,Y,Y,Y,N,Y,Y,Y,216.87
Y,Y,Y,N,Y,N,Y,Y,N,N,Y,251.32
Y,N,N,Y,N,N,Y,N,Y,Y,Y,265.38
Y,Y,N,Y,N,N,N,Y,N,Y,N,235.17
Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,252.87
Y,N,N,N,Y,N,Y,N,Y,N,N,203.56
Y,N,N,Y,N,N,N,Y,N,Y,Y,247.37
Y,Y,N,Y,N,N,Y,N,N,Y,N,232.86
Y,N,N,Y,Y,N,Y,N,Y,N,Y,257.71
Y,N,Y,Y,N,N,N,Y,N,Y,N,228.65
Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,229.55
Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,265.82
Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,235.79
Y,N,N,Y,Y,N,Y,Y,Y,Y,N,216.91
Y,N,N,Y,Y,N,Y,N,Y,N,Y,257.17
Y,N,N,Y,Y,Y,Y,Y,Y,N,N,214.41
Y,Y,Y,Y,N,N,Y,N,N,Y,N,247.77
Y,N,N,Y,Y,N,Y,Y,N,Y,N,212.45
Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,250.68
Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,261.57
Y,N,N,Y,Y,Y,N,Y,N,N,N,212.71
