time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance
Y,Y,Y,N,N,Y,Y,N,N,N,Y,255.13
Y,N,N,N,N,N,N,Y,N,N,N,204.53
Y,N,N,N,N,N,Y,N,Y,Y,Y,215.61
Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,262.68
Y,N,Y,N,Y,N,Y,N,N,N,N,222.82
Y,Y,N,N,Y,N,Y,Y,Y,N,N,222.56
Y,N,Y,N,N,N,Y,N,Y,N,N,221.17
Y,N,N,Y,Y,N,Y,Y,N,N,Y,259.37
Y,Y,N,N,Y,N,Y,Y,Y,N,Y,235.23
Y,Y,N,N,Y,Y,Y,N,Y,N,N,227.91
Y,N,N,N,Y,N,Y,N,Y,N,Y,215.85
Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,243.44
Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,263.59
Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,254.42
Y,N,Y,Y,Y,N,Y,N,Y,N,Y,249.30
Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,269.47
Y,N,Y,N,N,Y,Y,Y,Y,N,N,222.27
Y,N,Y,Y,N,N,Y,N,N,Y,Y,247.25
Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,251.81
Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,259.26
Y,N,Y,N,Y,Y,N,N,N,Y,Y,233.33
Y,N,N,Y,N,Y,N,N,N,Y,Y,256.60
