OperatingSystemCharacteristics,SQLITE_SECURE_DELETE,ChooseSQLITE_TEMP_STORE,SQLITE_TEMP_STOREzero,SQLITE_TEMP_STOREone,SQLITE_TEMP_STOREtwo,SQLITE_TEMP_STOREthree,EnableFeatures,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,DisableFeatures,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,OmitFeatures,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,Options,SetAutoVacuum,AutoVacuumOff,AutoVacuumOn,SetCacheSize,StandardCacheSize,LowerCacheSize,HigherCacheSize,LockingMode,ExclusiveLock,NormalLockingMode,PageSize,StandardPageSize,LowerPageSize,HigherPageSize,HighestPageSize,Performance,[DomFlist],DomEst,RelErr
Y,N,Y,N,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,N,14.70161651,[39N 23N 17N 22Y ],14.7335,0.0022
Y,N,Y,Y,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,14.33496914,[39N 23N 17N 22N 13N 29Y ],14.0168,0.0222
Y,N,Y,N,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,14.69222956,[39N 23Y ],13.7590,0.0635
Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,N,N,N,14.21978651,[39N 23N 17Y ],15.0412,0.0578
Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,N,14.16729072,[39N 23N 17Y ],15.0412,0.0617
Y,Y,Y,N,N,N,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,N,14.15038639,[39N 23N 17Y ],15.0412,0.0630
Y,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,14.03464473,[39N 23N 17Y ],15.0412,0.0717
Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,N,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,N,Y,N,N,14.46407844,[39N 23N 17N 22N 13N 29N ],14.4222,0.0029
Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,14.49154659,[39N 23Y ],13.7590,0.0505
Y,N,Y,Y,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,14.4725533,[39N 23N 17N 22Y ],14.7335,0.0180
Y,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,14.38226361,[39N 23Y ],13.7590,0.0433
