OperatingSystemCharacteristics,SQLITE_SECURE_DELETE,ChooseSQLITE_TEMP_STORE,SQLITE_TEMP_STOREzero,SQLITE_TEMP_STOREone,SQLITE_TEMP_STOREtwo,SQLITE_TEMP_STOREthree,EnableFeatures,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,DisableFeatures,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,OmitFeatures,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,Options,SetAutoVacuum,AutoVacuumOff,AutoVacuumOn,SetCacheSize,StandardCacheSize,LowerCacheSize,HigherCacheSize,LockingMode,ExclusiveLock,NormalLockingMode,PageSize,StandardPageSize,LowerPageSize,HigherPageSize,HighestPageSize,Performance,[DomFlist],DomEst,RelErr
Y,N,Y,N,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,N,14.70161651,[23N 5Y ],14.8747,0.0118
Y,N,Y,Y,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,14.33496914,[23N 5N 15N 3Y 26N 4Y ],14.5253,0.0133
Y,N,Y,N,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,14.69222956,[23Y 5Y ],14.4557,0.0161
Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,N,N,N,14.21978651,[23N 5N 15Y ],14.7819,0.0395
Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,N,14.16729072,[23N 5N 15N 3Y 26N 4Y ],14.5253,0.0253
Y,Y,Y,N,N,N,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,N,14.15038639,[23N 5N 15Y ],14.7819,0.0446
Y,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,14.03464473,[23N 5N 15N 3Y 26Y ],14.7909,0.0539
Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,N,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,N,Y,N,N,14.46407844,[23N 5N 15N 3Y 26Y ],14.7909,0.0226
Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,14.49154659,[23Y 5Y ],14.4557,0.0025
Y,N,Y,Y,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,14.4725533,[23N 5N 15Y ],14.7819,0.0214
Y,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,14.38226361,[23Y 5N 2Y ],14.4111,0.0020
Y,N,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,N,N,Y,N,14.03327771,[23N 5N 15Y ],14.7819,0.0533
Y,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,N,Y,N,14.27990747,[23Y 5N 2N ],13.8418,0.0307
