Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance,[DomFlist],DomEst,RelErr
Y,N,Y,Y,Y,N,N,Y,N,2640,[3Y 9N 6N ],2322.0000,0.1205
Y,N,Y,N,Y,Y,Y,N,Y,1230,[3Y 9Y 7Y ],1117.5000,0.0915
Y,Y,N,Y,Y,N,Y,N,N,990,[3N 2Y ],960.0000,0.0303
Y,N,Y,N,Y,Y,Y,Y,N,2100,[3Y 9N 6Y ],2010.0000,0.0429
Y,Y,Y,N,N,N,Y,N,Y,1020,[3Y 9Y 7Y ],1117.5000,0.0956
Y,Y,N,Y,Y,N,N,N,Y,1050,[3N 2Y ],960.0000,0.0857
Y,Y,Y,N,N,N,N,N,Y,1140,[3Y 9Y 7N ],1200.0000,0.0526
Y,N,N,N,N,N,Y,N,Y,1080,[3N 2N 6N ],1170.0000,0.0833
Y,Y,N,Y,N,Y,N,Y,N,990,[3N 2Y ],960.0000,0.0303
Y,N,Y,Y,N,N,N,Y,N,2460,[3Y 9N 6N ],2322.0000,0.0561
Y,Y,N,N,N,Y,N,N,Y,930,[3N 2Y ],960.0000,0.0323
Y,Y,N,N,Y,Y,Y,N,Y,900,[3N 2Y ],960.0000,0.0667
Y,Y,N,N,N,N,N,Y,N,1110,[3N 2Y ],960.0000,0.1351
Y,N,N,N,N,Y,N,N,N,1080,[3N 2N 6Y ],1134.0000,0.0500
Y,Y,Y,Y,Y,Y,N,Y,N,2100,[3Y 9N 6Y ],2010.0000,0.0429
Y,N,Y,Y,N,N,N,N,N,2220,[3Y 9N 6N ],2322.0000,0.0459
Y,Y,Y,Y,N,Y,Y,Y,N,1860,[3Y 9N 6Y ],2010.0000,0.0806
Y,N,N,Y,Y,N,N,N,Y,1200,[3N 2N 6N ],1170.0000,0.0250
Y,Y,N,N,N,N,N,N,N,990,[3N 2Y ],960.0000,0.0303
Y,Y,Y,Y,N,Y,N,Y,N,1890,[3Y 9N 6Y ],2010.0000,0.0635
Y,Y,Y,Y,Y,N,Y,N,N,2070,[3Y 9N 6N ],2322.0000,0.1217
Y,N,N,N,N,Y,Y,Y,N,1140,[3N 2N 6Y ],1134.0000,0.0053
Y,N,Y,Y,N,N,Y,N,Y,1320,[3Y 9Y 7Y ],1117.5000,0.1534
Y,Y,Y,N,N,N,N,Y,N,2280,[3Y 9N 6N ],2322.0000,0.0184
Y,N,N,Y,N,N,Y,N,N,1230,[3N 2N 6N ],1170.0000,0.0488
Y,Y,Y,Y,N,Y,Y,N,N,1770,[3Y 9N 6Y ],2010.0000,0.1356
Y,Y,Y,N,Y,Y,N,Y,N,2070,[3Y 9N 6Y ],2010.0000,0.0290
Y,Y,Y,N,Y,Y,Y,N,Y,1500,[3Y 9Y 7Y ],1117.5000,0.2550
Y,Y,N,N,Y,N,N,N,N,960,[3N 2Y ],960.0000,0.0000
Y,Y,Y,N,Y,N,N,N,N,1950,[3Y 9N 6N ],2322.0000,0.1908
Y,Y,Y,Y,Y,N,N,Y,N,2340,[3Y 9N 6N ],2322.0000,0.0077
