HAVE_CRYPTO,HAVE_HASH,HAVE_REPLICATION,HAVE_VERIFY,HAVE_SEQUENCE,HAVE_STATISTICS,DIAGNOSTIC,PAGESIZE,PS1K,PS4K,PS8K,PS16K,PS32K,CACHESIZE,CS32MB,CS16MB,CS64MB,CS512MB,Performance,[DomFlist],DomEst,RelErr
Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,19.9360,[13N 1Y 3N 10N ],15.9763,0.1986
N,Y,N,N,N,Y,N,Y,N,N,N,Y,N,Y,N,N,N,Y,1.2414,[13N 1N 2Y ],0.6847,0.4484
Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,10.7153,[13N 1Y 3Y 2N ],6.5050,0.3929
N,N,N,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,Y,N,0.4455,[13N 1N 2N ],0.4790,0.0751
N,Y,N,N,Y,Y,N,Y,N,N,Y,N,N,Y,N,Y,N,N,0.7471,[13N 1N 2Y ],0.6847,0.0835
N,Y,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,0.7569,[13N 1N 2Y ],0.6847,0.0953
N,N,N,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,Y,N,N,0.5212,[13N 1N 2N ],0.4790,0.0811
N,N,N,Y,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,0.5210,[13N 1N 2N ],0.4790,0.0807
Y,N,N,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,N,Y,N,10.7352,[13N 1Y 3N 10N ],15.9763,0.4882
Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,2.0266,[13N 1Y 3N 10N ],15.9763,6.8833
N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,2.1594,[13Y 1N ],2.3684,0.0968
N,Y,Y,N,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,Y,0.3658,[13N 1N 2Y ],0.6847,0.8719
Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,10.7410,[13N 1Y 3Y 2N ],6.5050,0.3944
Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,N,21.2577,[13N 1Y 3Y 2Y ],4.5815,0.7845
Y,N,Y,Y,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,Y,3.2064,[13N 1Y 3Y 2N ],6.5050,1.0288
Y,N,Y,Y,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,6.5046,[13N 1Y 3Y 2N ],6.5050,0.0001
Y,Y,N,N,N,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,N,21.2188,[13N 1Y 3N 10N ],15.9763,0.2471
Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,Y,Y,N,N,N,19.9877,[13N 1Y 3Y 2N ],6.5050,0.6745
N,Y,Y,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,0.7742,[13N 1N 2Y ],0.6847,0.1156
N,N,Y,Y,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,0.5141,[13N 1N 2N ],0.4790,0.0684
Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,2.0881,[13N 1Y 3N 10N ],15.9763,6.6511
Y,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,10.9284,[13N 1Y 3Y 2Y ],4.5815,0.5808
N,N,N,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,Y,0.4768,[13N 1N 2N ],0.4790,0.0045
Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,38.8823,[13Y 1Y ],38.3807,0.0129
Y,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,10.9380,[13N 1Y 3Y 2Y ],4.5815,0.5811
Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,2.0826,[13N 1Y 3N 10N ],15.9763,6.6713
Y,N,Y,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,Y,N,N,10.7224,[13N 1Y 3Y 2N ],6.5050,0.3933
Y,Y,N,Y,N,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,39.0174,[13Y 1Y ],38.3807,0.0163
Y,N,N,Y,N,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,37.8210,[13Y 1Y ],38.3807,0.0148
N,N,Y,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,0.9503,[13Y 1N ],2.3684,1.4923
N,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,N,1.2534,[13N 1N 2Y ],0.6847,0.4537
N,Y,N,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,Y,0.7413,[13N 1N 2Y ],0.6847,0.0763
Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,38.9977,[13Y 1Y ],38.3807,0.0158
N,Y,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,0.7549,[13N 1N 2Y ],0.6847,0.0929
N,N,N,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,0.5161,[13N 1N 2N ],0.4790,0.0720
Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,Y,Y,N,N,N,20.0097,[13N 1Y 3Y 2N ],6.5050,0.6749
