no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
Y,Y,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,427.797
Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,604.483
Y,N,Y,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,511.693
Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,N,379.457
Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,N,Y,N,380.180
Y,N,Y,N,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,380.277
Y,Y,N,N,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,496.893
Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,555.260
Y,N,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,508.710
Y,N,Y,N,N,N,N,N,Y,N,Y,N,Y,N,N,Y,604.747
Y,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,N,Y,602.713
Y,N,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,N,Y,605.273
Y,N,N,N,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,510.010
Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,407.687
Y,Y,Y,N,N,Y,Y,N,Y,N,N,Y,Y,N,Y,N,408.683
Y,N,N,N,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,722.037
Y,N,N,Y,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,521.700
Y,Y,N,Y,N,Y,Y,N,Y,N,N,Y,Y,N,N,Y,561.933
Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,Y,508.607
Y,N,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,382.010
Y,N,N,Y,N,Y,Y,N,Y,N,N,Y,Y,N,Y,N,432.757
Y,N,N,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,519.587
Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,613.447
