time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance
Y,N,N,N,Y,N,N,N,N,Y,Y,212.92
Y,Y,N,Y,Y,N,N,N,N,Y,Y,245.21
Y,Y,N,Y,Y,N,Y,N,N,N,Y,252.43
Y,Y,N,Y,N,N,N,N,N,Y,Y,243.93
Y,Y,N,N,Y,N,Y,N,N,Y,N,223.34
Y,N,N,Y,Y,N,N,N,N,Y,Y,255.44
Y,Y,N,N,N,N,Y,N,N,Y,N,221.25
Y,Y,N,Y,N,N,N,N,N,Y,N,230.17
Y,Y,N,N,N,N,Y,N,N,N,N,229.17
Y,Y,N,N,Y,N,Y,N,N,Y,Y,232.49
Y,Y,N,N,Y,N,N,N,N,N,N,232.20
Y,N,N,N,Y,N,Y,N,N,N,Y,219.31
Y,N,N,Y,N,N,N,N,N,Y,N,207.75
Y,Y,N,N,Y,N,N,N,N,Y,Y,230.79
Y,Y,N,N,N,N,N,N,N,Y,N,219.15
Y,N,N,Y,N,N,N,N,N,N,N,208.92
Y,N,N,N,Y,N,Y,N,N,N,N,207.23
Y,N,N,N,N,N,N,N,N,N,Y,258.83
Y,Y,N,Y,N,N,Y,N,N,Y,Y,246.38
Y,N,N,Y,N,N,N,N,N,Y,Y,241.78
Y,Y,N,N,N,N,N,N,N,N,Y,267.43
Y,N,N,N,Y,N,N,N,N,Y,N,199.68
Y,Y,N,Y,N,N,N,N,N,N,N,248.17
Y,N,N,Y,N,N,N,N,N,N,Y,220.87
Y,Y,N,N,Y,N,Y,N,N,N,Y,238.20
Y,N,N,N,N,N,Y,N,N,Y,Y,214.37
Y,N,N,N,N,N,N,N,N,Y,N,210.34
Y,N,N,N,N,N,Y,N,N,Y,N,200.66
Y,N,N,Y,Y,N,N,N,N,N,N,217.29
Y,Y,N,N,N,N,Y,N,N,Y,Y,230.47
Y,N,N,N,Y,N,Y,N,N,Y,N,201.70
Y,N,N,N,N,N,Y,N,N,N,N,204.99
Y,N,N,N,N,N,N,N,N,Y,Y,212.45
Y,N,N,Y,N,N,Y,N,N,Y,N,210.71
Y,Y,N,N,Y,N,N,N,N,Y,N,221.61
Y,N,N,Y,N,N,Y,N,N,N,N,214.72
Y,Y,N,Y,N,N,N,N,N,N,Y,240.35
Y,Y,N,Y,N,N,Y,N,N,Y,N,232.86
Y,N,N,N,N,N,Y,N,N,N,Y,217.40
Y,N,N,N,Y,N,Y,N,N,Y,Y,214.89
Y,N,N,N,Y,N,N,N,N,N,N,208.47
Y,Y,N,N,N,N,N,N,N,Y,Y,228.30
Y,Y,N,N,N,N,N,N,N,N,N,234.68
Y,Y,N,Y,Y,N,N,N,N,N,N,257.51
Y,Y,N,N,Y,N,Y,N,N,N,N,231.19
Y,N,N,Y,Y,N,Y,N,N,N,Y,263.31
Y,N,N,Y,Y,N,Y,N,N,Y,N,215.31
Y,Y,N,Y,Y,N,Y,N,N,Y,N,234.25
