no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,706.247
Y,Y,N,N,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,493.440
Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,616.133
Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,665.283
Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,266.527
Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,821.520
Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,263.073
Y,N,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,276.103
Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,291.643
Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,651.287
Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,279.810
Y,N,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,299.813
Y,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,310.580
Y,N,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,268.883
Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,Y,N,Y,N,573.653
Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,428.157
Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,561.960
Y,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,N,Y,N,428.027
Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,361.703
Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,279.217
Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,610.957
Y,N,Y,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,N,505.857
Y,N,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,476.863
Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,286.440
