no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance,[DomFlist],DomEst,RelErr
Y,Y,Y,N,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,275.960,[14Y 2Y ],254.2286,0.0787
Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,666.330,[14N 15N 4N 6Y ],709.1457,0.0643
Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,476.093,[14N 15Y 7Y ],412.3232,0.1339
Y,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,264.293,[14Y 2Y ],254.2286,0.0381
Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,580.607,[14N 15N 4N 6Y ],709.1457,0.2214
Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,N,418.190,[14N 15Y 7N 3Y ],519.1053,0.2413
Y,N,N,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,310.777,[14Y 2N ],287.7858,0.0740
Y,Y,N,Y,N,N,N,Y,Y,N,Y,N,Y,Y,N,N,256.273,[14Y 2Y ],254.2286,0.0080
Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,486.570,[14N 15Y 7N 3Y ],519.1053,0.0669
Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,279.150,[14Y 2Y ],254.2286,0.0893
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,455.493,[14N 15Y 7Y ],412.3232,0.0948
Y,N,N,Y,N,N,N,N,Y,N,Y,N,Y,N,N,Y,616.620,[14N 15N 4Y ],535.0578,0.1323
Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,277.533,[14Y 2N ],287.7858,0.0369
Y,Y,N,N,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,543.217,[14N 15Y 7N 3N ],466.0294,0.1421
Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,651.203,[14N 15N 4Y ],535.0578,0.1784
Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,310.263,[14Y 2N ],287.7858,0.0724
Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,408.607,[14N 15Y 7Y ],412.3232,0.0091
Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,269.493,[14Y 2N ],287.7858,0.0679
Y,N,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,562.183,[14N 15Y 7N 3Y ],519.1053,0.0766
Y,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,616.960,[14N 15N 4Y ],535.0578,0.1328
Y,N,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,276.103,[14Y 2N ],287.7858,0.0423
Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,Y,615.337,[14N 15N 4N 6N ],655.1500,0.0647
Y,Y,N,N,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,263.253,[14Y 2Y ],254.2286,0.0343
Y,Y,N,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,N,369.680,[14N 15Y 7Y ],412.3232,0.1154
Y,N,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,268.883,[14Y 2N ],287.7858,0.0703
Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,433.000,[14N 15Y 7Y ],412.3232,0.0478
Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,367.067,[14N 15Y 7Y ],412.3232,0.1233
Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,Y,726.600,[14N 15N 4Y ],535.0578,0.2636
Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,Y,N,543.523,[14N 15Y 7N 3N ],466.0294,0.1426
Y,N,N,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,N,444.710,[14N 15Y 7N 3N ],466.0294,0.0479
Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,671.747,[14N 15N 4Y ],535.0578,0.2035
Y,N,Y,Y,N,N,N,Y,Y,N,Y,N,Y,Y,N,N,262.290,[14Y 2N ],287.7858,0.0972
Y,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,780.657,[14N 15N 4N 6Y ],709.1457,0.0916
Y,N,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,305.400,[14Y 2N ],287.7858,0.0577
Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,Y,N,N,254.110,[14Y 2Y ],254.2286,0.0005
Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,439.020,[14N 15Y 7N 3Y ],519.1053,0.1824
Y,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,Y,809.530,[14N 15N 4Y ],535.0578,0.3391
Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,Y,N,N,262.277,[14Y 2N ],287.7858,0.0973
Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,783.493,[14N 15N 4Y ],535.0578,0.3171
