no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,588.670
Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,275.407
Y,Y,N,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,690.217
Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,N,Y,N,545.017
Y,N,N,Y,N,N,N,Y,Y,N,Y,N,Y,Y,N,N,270.153
Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,444.607
Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,N,Y,607.377
Y,N,N,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,N,N,305.040
Y,N,N,Y,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,616.087
Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,706.590
Y,Y,N,N,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,414.687
Y,N,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,380.147
Y,N,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,445.667
Y,Y,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,419.820
Y,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,741.887
Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,Y,N,Y,N,492.267
Y,N,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,305.000
Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,535.860
Y,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,Y,632.063
Y,N,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,Y,N,447.423
Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,Y,N,N,Y,629.620
Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,418.123
Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,251.587
Y,Y,N,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,264.380
Y,N,N,N,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,672.373
Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,428.263
Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,555.613
Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,413.880
Y,N,N,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,721.757
Y,Y,Y,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,416.887
Y,N,N,Y,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,305.173
Y,Y,Y,N,N,Y,N,Y,Y,N,N,Y,Y,N,N,Y,680.727
