no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
Y,Y,Y,N,N,N,N,N,Y,N,Y,N,Y,N,N,Y,581.513
Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,781.163
Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,462.473
Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,666.330
Y,Y,N,N,Y,N,N,N,Y,Y,N,N,Y,N,N,Y,711.233
Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,361.703
Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,517.123
Y,Y,N,Y,N,N,N,N,Y,N,Y,N,Y,N,N,Y,590.180
Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,613.447
Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,362.613
Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,N,Y,N,485.590
Y,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,544.580
Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,575.700
Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,268.207
Y,N,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,N,259.807
Y,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,742.463
Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,268.557
Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,262.610
Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,413.913
Y,N,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,310.673
Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,416.263
Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,714.667
Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,429.643
Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,Y,498.827
Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,430.697
Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,Y,611.043
Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,652.550
Y,Y,N,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,N,492.127
Y,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,Y,511.733
Y,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,305.500
Y,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,Y,N,383.890
Y,N,N,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,305.433
Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,Y,N,Y,N,382.980
Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,299.960
Y,Y,Y,N,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,275.960
Y,N,N,N,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,433.153
Y,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,299.797
Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,783.783
Y,N,Y,N,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,380.277
Y,Y,N,N,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,712.540
Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,N,484.853
Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,494.257
Y,N,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,380.147
Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,666.250
Y,N,Y,Y,N,Y,N,N,Y,N,Y,N,Y,N,N,Y,715.993
Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,494.267
Y,Y,N,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,254.587
Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,707.597
