"V1","V2","V3","V4"
"Sampling Amount","MinSplit","MinBucket","Fault Rate"
"4","4","2","85.6813977029184"
"8","4","2","49.4272411094068"
"12","4","2","41.6578339701522"
"16","4","2","22.668074267956"
"20","4","2","19.7246575376452"
"24","4","2","17.5719807099985"
"28","6","3","17.349599968184"
"32","6","3","15.0800778122959"
"36","8","4","13.0318086176636"
"40","8","4","10.3816651415624"
"44","8","4","7.7046262270287"
"48","10","5","7.99032829883469"
"52","10","5","7.83488007331911"
"56","12","6","9.13448281002285"
"60","12","6","7.85059066522563"
"64","12","6","7.75491280373159"
"68","14","7","8.03563359914905"
"72","14","7","7.81943211661488"
"76","16","8","8.9408721859621"
"80","16","8","7.95781360511535"
