"V1","V2","V3","V4"
"Sampling Amount","MinSplit","MinBucket","Fault Rate"
"4","4","2","95.8902146179385"
"8","4","2","52.1932890055627"
"12","4","2","43.1905559592252"
"16","4","2","23.8143981607876"
"20","4","2","21.0072226466913"
"24","4","2","17.2552396418207"
"28","6","3","17.9527196052834"
"32","6","3","15.7541821716001"
"36","8","4","13.7945868397072"
"40","8","4","10.6395770682101"
"44","8","4","8.54824815538245"
"48","10","5","8.63789844382062"
"52","10","5","8.2982553012404"
"56","12","6","9.75716155214007"
"60","12","6","8.68876325417513"
"64","12","6","7.82379461218643"
"68","14","7","8.45230239302369"
"72","14","7","8.05494106119908"
"76","16","8","8.97662462617881"
"80","16","8","7.61604481378053"
