time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance
Y,N,Y,N,N,Y,Y,Y,Y,Y,N,223.70
Y,N,N,N,Y,N,N,N,N,N,Y,220.80
Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,263.82
Y,Y,N,N,N,N,Y,Y,N,Y,Y,232.27
Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,264.60
Y,N,N,N,Y,N,Y,Y,Y,N,N,200.82
Y,N,N,N,Y,N,Y,Y,Y,N,Y,218.37
Y,Y,N,N,N,N,Y,N,N,N,N,229.17
Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,249.46
Y,N,N,N,N,Y,Y,N,Y,Y,Y,216.23
Y,Y,N,N,Y,Y,Y,N,N,Y,Y,234.53
Y,Y,N,N,N,N,Y,Y,Y,Y,N,225.62
Y,N,Y,N,Y,N,N,N,N,Y,Y,231.32
Y,N,Y,Y,N,Y,N,N,N,Y,Y,246.61
Y,Y,N,Y,N,N,Y,N,Y,N,Y,252.13
Y,Y,Y,Y,N,N,N,N,N,Y,Y,258.56
Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,263.19
Y,N,Y,N,N,Y,Y,N,Y,N,N,219.97
Y,Y,Y,N,Y,N,Y,N,Y,N,N,242.81
Y,N,N,Y,Y,N,Y,N,Y,Y,N,213.85
Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,251.52
Y,N,N,N,N,N,N,Y,N,Y,Y,216.59
Y,Y,Y,N,N,Y,Y,N,Y,N,Y,253.74
Y,Y,N,N,N,N,N,N,N,Y,Y,228.30
Y,Y,Y,N,N,N,Y,Y,Y,N,N,241.17
Y,Y,Y,N,N,N,N,Y,N,Y,Y,249.50
Y,N,N,N,Y,N,Y,N,N,N,N,207.23
Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,261.68
Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,237.36
Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,250.49
Y,Y,N,N,Y,Y,Y,N,Y,N,Y,238.56
Y,N,Y,Y,N,Y,N,Y,N,Y,Y,246.65
Y,Y,Y,N,Y,N,Y,N,N,Y,Y,251.10
