Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance
Y,N,N,Y,N,Y,N,Y,N,1260
Y,Y,N,Y,Y,Y,N,N,N,960
Y,Y,Y,Y,N,N,N,N,N,2130
Y,Y,N,N,N,N,N,N,N,990
Y,Y,Y,Y,N,Y,N,N,N,1890
Y,N,Y,Y,N,Y,N,Y,N,2100
Y,N,Y,N,N,N,Y,Y,N,2250
Y,N,Y,Y,Y,N,Y,Y,N,2430
Y,N,N,Y,Y,N,N,N,Y,1200
Y,N,N,N,N,Y,N,N,N,1080
Y,Y,N,N,N,N,N,N,Y,990
Y,N,Y,Y,Y,Y,Y,N,N,1890
Y,N,Y,N,Y,N,Y,Y,N,2430
Y,Y,N,N,Y,Y,N,Y,N,1020
Y,Y,Y,Y,Y,N,Y,N,Y,1200
Y,N,Y,Y,N,N,Y,N,N,2130
Y,Y,Y,N,Y,N,N,Y,N,2280
Y,N,N,N,Y,Y,N,Y,N,1320
Y,Y,Y,Y,Y,N,Y,N,N,2070
Y,Y,Y,N,Y,N,Y,N,N,1890
Y,N,Y,N,N,Y,Y,N,Y,1260
Y,Y,N,Y,Y,N,Y,N,Y,990
Y,Y,Y,N,Y,Y,N,Y,N,2070
Y,Y,N,N,Y,Y,Y,Y,N,960
Y,N,N,N,N,N,Y,Y,N,1290
Y,Y,N,N,N,N,Y,Y,N,1020
Y,N,Y,Y,Y,Y,N,N,N,2040
Y,N,Y,N,N,Y,N,N,N,1770
Y,N,N,N,N,N,N,Y,N,1410
