Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance,[DomFlist],DomEst,RelErr
Y,N,Y,N,N,Y,N,N,N,1770,[3Y 9N 5N 4N ],1762.5000,0.0042
Y,N,Y,Y,N,N,N,Y,N,2460,[3Y 9N 5N 4Y ],1960.0000,0.2033
Y,N,Y,N,Y,Y,N,N,N,1830,[3Y 9N 5Y ],2220.0000,0.2131
Y,Y,Y,N,N,Y,N,N,Y,1200,[3Y 9Y ],1210.0000,0.0083
Y,Y,N,Y,Y,N,Y,N,N,990,[3N 8N 2Y ],920.0000,0.0707
Y,Y,N,Y,N,N,Y,N,N,960,[3N 8N 2Y ],920.0000,0.0417
Y,Y,Y,Y,Y,Y,N,N,N,1920,[3Y 9N 5Y ],2220.0000,0.1562
Y,Y,Y,Y,Y,Y,N,N,Y,1170,[3Y 9Y ],1210.0000,0.0342
Y,Y,Y,Y,Y,Y,N,Y,N,2100,[3Y 9N 5Y ],2220.0000,0.0571
Y,N,Y,Y,N,N,Y,N,Y,1320,[3Y 9Y ],1210.0000,0.0833
Y,N,Y,Y,N,Y,N,Y,N,2100,[3Y 9N 5N 4Y ],1960.0000,0.0667
Y,N,N,Y,Y,Y,N,N,Y,1140,[3N 8N 2N 7N ],1140.0000,0.0000
Y,Y,N,Y,N,Y,Y,N,N,900,[3N 8N 2Y ],920.0000,0.0222
Y,Y,Y,N,Y,Y,Y,N,Y,1500,[3Y 9Y ],1210.0000,0.1933
Y,N,Y,N,N,Y,Y,N,N,1680,[3Y 9N 5N 4N ],1762.5000,0.0491
Y,N,N,Y,Y,Y,N,Y,N,1260,[3N 8Y ],1200.0000,0.0476
Y,Y,Y,N,Y,N,N,N,N,1950,[3Y 9N 5Y ],2220.0000,0.1385
Y,N,N,N,N,Y,Y,N,N,1020,[3N 8N 2N 7Y ],1087.5000,0.0662
Y,Y,Y,Y,N,Y,N,N,N,1890,[3Y 9N 5N 4Y ],1960.0000,0.0370
Y,Y,Y,N,N,Y,Y,N,N,1620,[3Y 9N 5N 4N ],1762.5000,0.0880
Y,N,N,N,Y,N,Y,N,N,1140,[3N 8N 2N 7Y ],1087.5000,0.0461
Y,Y,N,N,Y,Y,N,Y,N,1020,[3N 8Y ],1200.0000,0.1765
Y,N,N,N,N,N,N,N,N,1200,[3N 8N 2N 7N ],1140.0000,0.0500
Y,N,N,N,Y,Y,Y,Y,N,1230,[3N 8Y ],1200.0000,0.0244
Y,N,N,Y,Y,Y,N,N,N,1200,[3N 8N 2N 7N ],1140.0000,0.0500
Y,Y,Y,N,N,N,N,N,Y,1140,[3Y 9Y ],1210.0000,0.0614
Y,Y,N,N,Y,Y,Y,Y,N,960,[3N 8Y ],1200.0000,0.2500
Y,N,Y,Y,Y,N,Y,N,N,2190,[3Y 9N 5Y ],2220.0000,0.0137
Y,Y,Y,N,Y,N,Y,N,N,1890,[3Y 9N 5Y ],2220.0000,0.1746
Y,N,Y,N,N,Y,Y,N,Y,1260,[3Y 9Y ],1210.0000,0.0397
Y,Y,Y,Y,N,Y,N,N,Y,1080,[3Y 9Y ],1210.0000,0.1204
Y,Y,N,N,N,Y,N,N,Y,930,[3N 8N 2Y ],920.0000,0.0108
Y,N,N,N,Y,N,Y,Y,N,1380,[3N 8Y ],1200.0000,0.1304
Y,N,N,Y,N,N,N,N,N,1320,[3N 8N 2N 7N ],1140.0000,0.1364
Y,Y,Y,Y,Y,N,Y,N,Y,1200,[3Y 9Y ],1210.0000,0.0083
Y,Y,N,Y,Y,Y,N,N,N,960,[3N 8N 2Y ],920.0000,0.0417
Y,Y,Y,N,Y,N,Y,Y,N,2190,[3Y 9N 5Y ],2220.0000,0.0137
Y,N,Y,Y,Y,Y,N,N,Y,1200,[3Y 9Y ],1210.0000,0.0083
Y,N,N,N,Y,Y,Y,N,Y,1050,[3N 8N 2N 7Y ],1087.5000,0.0357
Y,N,N,Y,N,Y,Y,Y,N,1140,[3N 8Y ],1200.0000,0.0526
Y,Y,Y,Y,N,Y,Y,Y,N,1860,[3Y 9N 5N 4Y ],1960.0000,0.0538
Y,N,Y,Y,Y,N,Y,Y,N,2430,[3Y 9N 5Y ],2220.0000,0.0864
Y,N,N,N,N,N,Y,N,Y,1080,[3N 8N 2N 7Y ],1087.5000,0.0069
Y,Y,Y,Y,N,Y,Y,N,Y,1470,[3Y 9Y ],1210.0000,0.1769
Y,Y,Y,N,Y,Y,Y,Y,N,1920,[3Y 9N 5Y ],2220.0000,0.1562
Y,N,Y,Y,N,N,Y,N,N,2130,[3Y 9N 5N 4Y ],1960.0000,0.0798
Y,Y,N,N,Y,N,Y,N,Y,960,[3N 8N 2Y ],920.0000,0.0417
Y,Y,Y,Y,Y,N,N,N,N,2220,[3Y 9N 5Y ],2220.0000,0.0000
Y,Y,N,N,N,Y,Y,Y,N,930,[3N 8Y ],1200.0000,0.2903
Y,N,N,Y,N,Y,Y,N,Y,1050,[3N 8N 2N 7Y ],1087.5000,0.0357
Y,Y,N,N,N,Y,N,Y,N,1020,[3N 8Y ],1200.0000,0.1765
Y,Y,Y,N,N,N,Y,N,N,1830,[3Y 9N 5N 4N ],1762.5000,0.0369
Y,N,Y,Y,Y,N,Y,N,Y,1110,[3Y 9Y ],1210.0000,0.0901
Y,Y,Y,N,N,Y,Y,N,Y,1140,[3Y 9Y ],1210.0000,0.0614
Y,Y,Y,N,N,N,N,N,N,1950,[3Y 9N 5N 4N ],1762.5000,0.0962
Y,Y,Y,Y,N,N,N,N,N,2130,[3Y 9N 5N 4Y ],1960.0000,0.0798
Y,Y,N,Y,Y,Y,Y,N,Y,870,[3N 8N 2Y ],920.0000,0.0575
