time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance
Y,Y,Y,N,N,Y,N,N,N,N,Y,255.21
Y,Y,Y,Y,N,Y,N,Y,N,Y,N,247.27
Y,N,N,N,N,Y,N,Y,N,N,Y,219.31
Y,Y,N,Y,N,N,N,Y,N,N,Y,250.88
Y,N,Y,Y,N,N,N,N,N,Y,Y,244.92
Y,N,N,Y,N,N,N,Y,N,N,N,213.18
Y,N,N,Y,N,Y,N,N,N,N,Y,266.19
Y,Y,N,Y,N,Y,N,Y,N,N,N,242.55
Y,N,N,Y,N,N,N,N,N,N,Y,220.87
Y,Y,Y,N,N,N,N,N,N,Y,N,234.87
Y,Y,N,N,N,N,N,N,N,N,N,234.68
Y,Y,Y,Y,N,N,N,N,N,Y,Y,258.56
Y,Y,N,N,N,N,N,Y,N,N,N,227.85
Y,Y,Y,N,N,Y,N,Y,N,Y,Y,250.34
Y,Y,N,N,N,Y,N,N,N,N,Y,238.75
Y,Y,N,N,N,Y,N,Y,N,N,Y,239.59
Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,259.76
Y,N,Y,N,N,Y,N,Y,N,Y,N,218.56
Y,N,N,N,N,Y,N,N,N,Y,N,200.38
Y,Y,N,Y,N,N,N,N,N,N,Y,240.35
Y,Y,N,Y,N,N,N,N,N,N,N,248.17
Y,N,Y,Y,N,Y,N,N,N,Y,Y,246.61
Y,N,Y,N,N,Y,N,Y,N,Y,Y,231.63
Y,Y,Y,Y,N,Y,N,N,N,Y,Y,260.50
Y,N,Y,N,N,N,N,N,N,Y,Y,230.74
Y,Y,N,Y,N,Y,N,N,N,N,N,242.16
Y,N,N,N,N,Y,N,N,N,N,Y,219.50
Y,Y,Y,N,N,N,N,Y,N,Y,N,239.66
Y,Y,N,N,N,Y,N,N,N,N,N,230.74
Y,N,Y,N,N,Y,N,N,N,Y,N,217.70
Y,Y,N,Y,N,Y,N,Y,N,N,Y,251.91
Y,N,Y,Y,N,Y,N,Y,N,N,N,228.65
Y,N,N,N,N,N,N,Y,N,N,N,204.53
Y,N,N,Y,N,N,N,N,N,N,N,208.92
Y,Y,Y,N,N,Y,N,Y,N,Y,N,241.70
Y,Y,Y,Y,N,N,N,Y,N,N,N,253.53
Y,N,Y,N,N,Y,N,N,N,Y,Y,231.62
Y,N,Y,Y,N,Y,N,Y,N,N,Y,252.93
Y,Y,N,N,N,N,N,Y,N,N,Y,236.21
Y,N,Y,N,N,N,N,N,N,Y,N,216.40
Y,Y,N,N,N,N,N,N,N,Y,Y,228.30
Y,N,N,N,N,Y,N,Y,N,Y,N,201.47
Y,N,N,Y,N,Y,N,N,N,Y,N,209.58
Y,Y,Y,N,N,N,N,N,N,Y,Y,246.33
Y,Y,Y,N,N,Y,N,Y,N,N,Y,253.12
Y,N,Y,N,N,N,N,Y,N,Y,N,220.40
Y,Y,N,N,N,Y,N,Y,N,N,N,231.34
Y,Y,Y,Y,N,Y,N,N,N,N,N,253.96
Y,N,N,N,N,N,N,N,N,N,N,210.44
Y,Y,Y,N,N,Y,N,N,N,Y,Y,247.99
Y,N,N,N,N,N,N,N,N,Y,Y,212.45
Y,Y,N,Y,N,N,N,N,N,Y,Y,243.93
Y,N,Y,Y,N,N,N,Y,N,N,N,229.28
Y,Y,N,Y,N,Y,N,N,N,N,Y,252.21
Y,Y,N,Y,N,Y,N,N,N,Y,N,232.33
Y,Y,Y,Y,N,N,N,Y,N,Y,Y,261.44
Y,N,Y,Y,N,N,N,Y,N,Y,N,228.65
Y,Y,N,N,N,N,N,N,N,N,Y,267.43
Y,Y,Y,Y,N,Y,N,Y,N,N,Y,266.45
Y,Y,N,Y,N,Y,N,Y,N,Y,Y,245.56
Y,N,Y,N,N,N,N,Y,N,Y,Y,233.66
Y,Y,N,N,N,N,N,Y,N,Y,N,224.73
